check_date,start_date,end_date,total_filtered_tickers,seq_gt_1_count,seq_gt_1_avg_distance,seq_gt_1_tickers,seq_eq_1_count,seq_eq_1_avg_distance,seq_eq_1_tickers,seq_eq_0_count,seq_eq_0_avg_distance,seq_eq_0_tickers,breakthrough_momentum_pct,failed_breakthrough_pct
2025-09-02,2025-09-01,2025-09-01,0,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-03,2025-09-01,2025-09-02,1,1,-8.96,DK,0,0.0,,0,0.0,,100.0,0.0
2025-09-04,2025-09-01,2025-09-03,3,1,-9.02,DK,0,0.0,,2,16.38,"MFH,NSSC",33.3,66.7
2025-09-05,2025-09-01,2025-09-04,7,3,-6.47,"AQST,DK,PLYM",0,0.0,,4,6.91,"GENI,MFH,NSSC,UCB",42.9,57.1
2025-09-06,2025-09-01,2025-09-05,11,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-07,2025-09-01,2025-09-06,11,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-08,2025-09-01,2025-09-07,11,3,-2.35,"NSSC,PLYM,SSRM",0,0.0,,8,4.07,"ABUS,AQST,DK,DSGN,GENI,MFH,TSHA,UCB",27.3,72.7
2025-09-09,2025-09-01,2025-09-08,13,6,-4.84,"ABUS,DK,DSGN,NSSC,RR,SSRM",1,-1.51,DSGN,7,3.00,"AQST,ECVT,GENI,MFH,PLYM,TSHA,UCB",46.2,53.8
2025-09-10,2025-09-01,2025-09-09,13,6,-5.35,"ABUS,ECVT,MFH,NSSC,PLYM,SSRM",1,-10.50,MFH,7,2.77,"AQST,DK,DSGN,GENI,RR,TSHA,UCB",46.2,53.8
2025-09-11,2025-09-01,2025-09-10,14,7,-8.44,"ABUS,DAKT,ECVT,MFH,NSSC,RR,SSRM",0,0.0,,7,5.22,"AQST,DK,DSGN,GENI,PLYM,TSHA,UCB",50.0,50.0
2025-09-12,2025-09-01,2025-09-11,17,9,-8.58,"ABUS,CENX,DAKT,ECVT,FUBO,MFH,NSSC,RR,SSRM",0,0.0,,8,6.50,"AQST,ATRC,DK,DSGN,GENI,PLYM,TSHA,UCB",52.9,47.1
2025-09-13,2025-09-01,2025-09-12,18,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-14,2025-09-01,2025-09-13,18,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-15,2025-09-01,2025-09-14,18,11,-7.99,"ABUS,AMRK,AQST,CENX,DAKT,ECVT,FUBO,MFH,NSSC,RR,SSRM",1,-1.28,ECVT,7,8.83,"ATRC,DK,DSGN,GENI,PLYM,TSHA,UCB",61.1,38.9
2025-09-16,2025-09-01,2025-09-15,21,11,-5.54,"ABUS,AMRK,CENX,DAKT,DK,FUBO,MFH,NSSC,REAL,RR,SSRM",0,0.0,,10,7.67,"AQST,ATRC,CMRE,DSGN,ECVT,GENI,ISPR,PLYM,TSHA,UCB",52.4,47.6
2025-09-17,2025-09-01,2025-09-16,21,12,-4.77,"ABUS,CENX,CMRE,DAKT,DK,ECVT,FUBO,MFH,NSSC,REAL,RR,SSRM",2,-2.75,"MFH,RR",9,8.72,"AMRK,AQST,ATRC,DSGN,GENI,ISPR,PLYM,TSHA,UCB",57.1,42.9
