ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
ACA,upper_breakout,2023-01-10,55.49,54.33,2.14,-11.6,197,0.72,2.6,-5.87,-18.95,14.88,7.0,1.5,1.08,6.36,7.55,161.38,9.05,-1.71,,,,,
ACA,under_touch,2022-07-05,46.15,45.01,2.52,23.1,2,1.05,3.8,-13.46,-32.59,9.6,,-2.47,2.02,12.2,29.36,214.28,14.11,-5.7,4.0,-2.3,1.0,1.9,True
ACA,under_touch,2022-07-11,45.09,45.16,-0.16,23.1,6,0.39,3.1,-16.16,-34.14,9.03,,1.31,7.58,37.21,26.88,221.67,40.23,-3.48,1.0,-0.18,2.0,0.83,False
ACA,under_touch,2022-07-13,44.72,44.37,0.78,22.5,6,0.47,3.1,-11.04,-34.68,8.8,,7.27,11.14,43.25,31.82,224.33,44.25,-2.68,,,1.0,1.18,True
ACEL,under_touch,2022-08-10,9.51,10.23,-7.02,32.6,40,2.65,4.98,-12.91,-37.06,2.04,,9.36,3.26,-4.84,-11.04,30.6,12.83,-7.15,1.0,4.31,1.0,8.19,False
ACEL,under_touch,2022-09-01,9.43,9.32,1.18,26.7,15,0.98,3.15,-20.22,-37.59,2.64,,-0.74,-4.35,-17.18,4.45,31.71,2.33,-18.88,2.0,-2.12,1.0,0.76,True
ACEL,under_touch,2022-09-08,9.05,9.09,-0.42,25.2,1,1.26,3.16,-4.84,-40.11,2.59,,1.33,-11.27,-6.52,5.19,37.24,6.63,-15.47,6.0,-0.33,1.0,2.84,False
ACEL,under_touch,2022-09-14,9.17,9.12,0.54,25.2,5,1.15,3.51,-12.08,-39.31,2.51,,-9.27,-12.98,-8.18,-6.65,35.44,1.53,-16.58,2.0,-1.64,2.0,0.88,True
ACEL,under_touch,2022-09-20,8.71,8.76,-0.62,23.1,2,0.92,3.35,-14.19,-42.36,2.46,,-10.68,-3.79,1.95,3.79,42.59,4.94,-12.17,1.0,-4.48,1.0,0.74,False
ACEL,under_touch,2022-09-22,8.03,8.32,-3.44,20.4,1,0.76,3.96,-18.23,-46.86,2.26,,-2.62,5.35,8.22,9.96,54.67,13.82,-4.73,1.0,-1.62,1.0,4.16,False
ACEL,under_touch,2022-09-26,7.83,7.75,0.97,17.1,1,1.53,4.38,-18.61,-48.18,2.47,,1.79,4.73,15.96,12.77,58.62,16.86,-2.3,,,1.0,0.97,True
ACEL,under_touch,2022-09-30,7.81,7.77,0.46,17.1,5,0.64,4.29,-17.18,-48.31,2.64,,8.19,7.55,26.12,8.58,59.03,27.4,-1.54,,,2.0,1.08,True
ACEL,under_touch,2022-12-14,7.97,8.03,-0.76,17.1,57,1.25,3.62,-11.84,-47.25,2.15,,-4.27,-4.52,11.29,18.07,55.83,12.17,-8.91,1.0,-2.13,3.0,1.76,False
ACEL,under_touch,2022-12-16,7.67,7.77,-1.34,15.6,1,1.78,3.92,-13.14,-49.24,2.2,,-1.3,3.39,13.95,25.29,61.93,16.56,-5.35,1.0,-4.17,1.0,3.14,False
ACEL,under_touch,2022-12-20,7.41,7.28,1.74,12.9,1,0.68,4.19,-16.08,-50.96,2.1,,0.0,12.28,20.92,27.53,67.61,20.92,-2.02,,,1.0,0.19,True
ACET,under_touch,2023-03-20,102.56,104.22,-1.6,2.7,396,0.92,8.29,-24.05,-95.66,66.15,,-7.64,-11.08,-6.71,6.55,-91.95,6.08,-19.97,2.0,-6.71,1.0,1.75,False
ACET,under_touch,2023-03-24,94.24,104.27,-9.62,2.7,400,0.85,9.78,-23.11,-96.01,62.25,,-2.21,-4.24,3.74,7.3,-91.24,10.36,-12.9,1.0,0.51,2.0,12.53,False
ACET,under_touch,2023-03-28,88.32,93.15,-5.19,1339.2,2,0.47,10.32,-29.95,-96.26,56.5,,-3.08,-4.53,6.88,3.44,-90.65,17.75,-7.07,2.0,5.8,1.0,5.36,False
ACET,under_touch,2023-04-03,91.2,91.4,-0.22,874.2,3,0.83,9.27,-25.59,-96.14,60.15,,-2.46,4.91,6.67,-3.86,-90.94,14.04,-10.0,1.0,-6.14,1.0,0.57,False
