ticker,side,event_date,entry,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dist_hi_52w_pct,dist_lo_52w_pct,rsi14,dollar_vol_m,attempt_no,touch_no,ret_s10_none,days_s10_none,ret_s10_tp20,days_s10_tp20,ret_s10_tp40,days_s10_tp40,ret_s10_atr3x,days_s10_atr3x,ret_s10_atr4x,days_s10_atr4x,ret_s15_none,days_s15_none,ret_s15_tp20,days_s15_tp20,ret_s15_tp40,days_s15_tp40,ret_s15_atr3x,days_s15_atr3x,ret_s15_atr4x,days_s15_atr4x,ret_s20_none,days_s20_none,ret_s20_tp20,days_s20_tp20,ret_s20_tp40,days_s20_tp40,ret_s20_atr3x,days_s20_atr3x,ret_s20_atr4x,days_s20_atr4x
FHTX,under,2023-07-21,8.1,1.12,0.0,299,0.85,6.68,-4.82,-71.34,-55.3,79.6,54.4,0.67,,48.0,-7.8,22,20.0,6,-7.8,22,20.05,6,-7.8,22,-11.14,23,20.0,6,-11.14,23,20.05,6,-11.14,23,-14.48,24,20.0,6,-14.48,24,20.05,6,-14.48,24
FHTX,under,2023-07-27,8.08,0.87,0.0,303,1.27,6.67,-6.05,-71.41,-55.41,79.16,52.7,0.56,,49.0,-7.54,18,20.0,2,-7.54,18,20.02,2,-7.54,18,-10.88,19,20.0,2,-10.88,19,20.02,2,-10.88,19,-14.21,20,20.0,2,-14.21,20,20.02,2,-14.21,20
FIBK,upper,2021-08-20,45.48,2.51,-28.5,57,0.74,2.48,8.99,-11.24,-11.24,51.5,61.3,5.96,2.0,,-6.35,11,-6.35,11,-6.35,11,-6.35,11,-6.35,11,-7.72,12,-7.72,12,-7.72,12,-7.72,12,-7.72,12,-9.22,14,-9.22,14,-9.22,14,-9.22,14,-9.22,14
FIBK,upper,2021-08-27,45.39,2.99,-28.5,62,1.65,2.33,8.28,-11.42,-11.42,51.2,58.1,6.04,3.0,,-6.01,6,-6.01,6,-6.01,6,-6.01,6,-6.01,6,-7.3,7,-7.3,7,-7.3,7,-7.3,7,-7.3,7,-8.72,9,-8.72,9,-8.72,9,-8.72,9,-8.72,9
FIBK,upper,2021-08-31,44.06,0.24,-28.5,64,1.24,2.5,2.82,-14.01,-14.01,46.77,49.7,5.77,4.0,,-3.27,4,-3.27,4,-3.27,4,-3.27,4,-3.27,4,-4.65,5,-4.65,5,-4.65,5,-4.65,5,-4.65,5,-6.16,7,-6.16,7,-6.16,7,-6.16,7,-6.16,7
FIBK,upper,2022-09-26,41.7,0.13,-12.7,28,0.84,2.6,3.71,-18.62,-8.01,28.7,54.4,34.3,2.0,,-2.78,1,-2.78,1,-2.78,1,-2.78,1,-2.78,1,-4.19,3,-4.19,3,-4.19,3,-4.19,3,-4.19,3,-8.35,57,-8.35,57,-8.35,57,7.79,24,10.39,25
FIBK,upper,2022-10-04,42.16,1.56,-12.7,34,0.82,2.83,8.69,-17.72,-6.99,30.12,57.9,34.89,3.0,,-6.94,49,-6.94,49,-6.94,49,8.49,19,-6.94,49,-8.41,50,-8.41,50,-8.41,50,8.49,19,-8.41,50,-9.88,51,-9.88,51,-9.88,51,8.49,19,-9.88,51
FIBK,upper,2022-12-12,40.65,0.5,-12.7,82,1.15,2.5,-7.63,-20.67,-12.28,25.46,32.5,15.08,4.0,,-3.04,1,-3.04,1,-3.04,1,-3.04,1,-3.04,1,-4.34,2,-4.34,2,-4.34,2,-4.34,2,-4.34,2,-5.59,2,-5.59,2,-5.59,2,-5.59,2,-5.59,2
FIBK,upper,2026-07-09,38.91,1.36,-5.3,103,0.7,1.94,7.78,-24.06,-1.87,40.98,62.4,41.94,2.0,,-3.52,11,-3.52,11,-3.52,11,-3.52,11,-3.52,11,-4.72,22,-4.72,22,-4.72,22,-4.72,22,-4.72,22,-0.18,25,-0.18,25,-0.18,25,-0.18,25,-0.18,25
FIBK,upper,2026-07-30,38.46,0.51,-5.3,118,0.88,2.26,-2.04,-24.94,-5.27,39.35,52.6,48.0,3.0,,-2.9,6,-2.9,6,-2.9,6,-2.9,6,-2.9,6,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10,0.99,10
