check_date,ticker,team,sequence,distance,close_price
2025-09-03,DK,seq_gt_1,>1,-8.96,31.91
2025-09-04,DK,seq_gt_1,>1,-9.02,31.92
2025-09-04,MFH,seq_eq_0,0,34.00,5.5
2025-09-04,NSSC,seq_eq_0,0,-1.25,39.25
2025-09-05,AQST,seq_gt_1,>1,-10.15,5.42
2025-09-05,DK,seq_gt_1,>1,-7.31,31.32
2025-09-05,PLYM,seq_gt_1,>1,-1.96,22.4
2025-09-05,GENI,seq_eq_0,0,-1.33,13.5
2025-09-05,MFH,seq_eq_0,0,31.66,5.59
2025-09-05,NSSC,seq_eq_0,0,-2.07,39.52
2025-09-05,UCB,seq_eq_0,0,-0.63,33.28
2025-09-08,NSSC,seq_gt_1,>1,-4.02,40.26
2025-09-08,PLYM,seq_gt_1,>1,-1.21,22.23
2025-09-08,SSRM,seq_gt_1,>1,-1.82,21.39
2025-09-08,ABUS,seq_eq_0,0,-1.71,4.09
2025-09-08,AQST,seq_eq_0,0,-2.79,5.01
2025-09-08,DK,seq_eq_0,0,-3.94,30.2
2025-09-08,DSGN,seq_eq_0,0,12.54,5.82
2025-09-08,GENI,seq_eq_0,0,7.44,12.77
2025-09-08,MFH,seq_eq_0,0,16.11,6.33
2025-09-08,TSHA,seq_eq_0,0,4.94,3.24
2025-09-08,UCB,seq_eq_0,0,0.00,33.06
2025-09-09,ABUS,seq_gt_1,>1,-7.16,4.33
2025-09-09,DK,seq_gt_1,>1,-9.23,31.95
2025-09-09,DSGN,seq_gt_1,>1,-1.51,6.64
2025-09-09,NSSC,seq_gt_1,>1,-3.79,40.1
2025-09-09,RR,seq_gt_1,>1,-6.58,3.04
2025-09-09,SSRM,seq_gt_1,>1,-0.76,21.16
2025-09-09,DSGN,seq_eq_1,1,-1.51,6.45
2025-09-09,AQST,seq_eq_0,0,-2.21,4.98
2025-09-09,ECVT,seq_eq_0,0,3.34,8.97
2025-09-09,GENI,seq_eq_0,0,6.94,12.82
2025-09-09,MFH,seq_eq_0,0,8.42,6.77
2025-09-09,PLYM,seq_eq_0,0,-0.18,21.99
2025-09-09,TSHA,seq_eq_0,0,3.35,3.28
2025-09-09,UCB,seq_eq_0,0,1.32,32.61
2025-09-10,ABUS,seq_gt_1,>1,-12.99,4.62
2025-09-10,ECVT,seq_gt_1,>1,0.76,9.19
2025-09-10,MFH,seq_gt_1,>1,-10.50,8.19
2025-09-10,NSSC,seq_gt_1,>1,-3.89,40.08
2025-09-10,PLYM,seq_gt_1,>1,-1.08,22.18
2025-09-10,SSRM,seq_gt_1,>1,-4.42,21.97
2025-09-10,MFH,seq_eq_1,1,-10.50,7.16
2025-09-10,AQST,seq_eq_0,0,-0.41,4.88
2025-09-10,DK,seq_eq_0,0,-2.42,29.71
2025-09-10,DSGN,seq_eq_0,0,8.32,6.13
