check_date,ticker,team,sequence,distance,close_price
2024-10-04,SBGI,seq_gt_1,>1,-7.57,15.86
2024-10-07,AREN,seq_gt_1,>1,-5.88,0.86
2024-10-07,ASIX,seq_gt_1,>1,-2.20,31.19
2024-10-07,ETON,seq_gt_1,>1,-9.73,6.91
2024-10-07,MRBK,seq_gt_1,>1,-1.69,13.05
2024-10-07,SBGI,seq_gt_1,>1,-6.90,15.86
2024-10-07,DHT,seq_eq_0,0,0.17,12.04
2024-10-08,ETON,seq_gt_1,>1,-11.08,6.91
2024-10-08,MRBK,seq_gt_1,>1,-0.77,13.05
2024-10-08,SBGI,seq_gt_1,>1,-5.60,15.86
2024-10-08,AREN,seq_eq_0,0,11.54,0.86
2024-10-08,ASIX,seq_eq_0,0,4.37,31.19
2024-10-08,DHT,seq_eq_0,0,1.43,12.04
2024-10-09,ETON,seq_gt_1,>1,-14.77,6.91
2024-10-09,MRBK,seq_gt_1,>1,-1.08,13.05
2024-10-09,SBGI,seq_gt_1,>1,-7.59,15.86
2024-10-09,AREN,seq_eq_0,0,7.50,0.86
2024-10-09,ASIX,seq_eq_0,0,3.97,31.19
2024-10-09,DHT,seq_eq_0,0,4.14,12.04
2024-10-10,ETON,seq_gt_1,>1,-15.96,6.91
2024-10-10,MRBK,seq_gt_1,>1,-1.16,13.05
2024-10-10,SBGI,seq_gt_1,>1,-8.04,15.86
2024-10-10,ALRS,seq_eq_0,0,4.23,22.9
2024-10-10,AREN,seq_eq_0,0,10.39,0.86
2024-10-10,ASIX,seq_eq_0,0,4.14,31.19
2024-10-10,DHT,seq_eq_0,0,2.29,12.04
2024-10-10,PDYN,seq_eq_0,0,51.08,2.75
2024-10-11,ETON,seq_gt_1,>1,-17.88,6.91
2024-10-11,MRBK,seq_gt_1,>1,-1.01,13.05
2024-10-11,RSI,seq_gt_1,>1,-4.64,11.01
2024-10-11,SBGI,seq_gt_1,>1,-13.46,15.86
2024-10-11,ALRS,seq_eq_0,0,1.81,22.9
2024-10-11,AREN,seq_eq_0,0,10.53,0.86
2024-10-11,ASIX,seq_eq_0,0,3.98,31.19
2024-10-11,DHT,seq_eq_0,0,2.82,12.04
2024-10-11,GILD,seq_eq_0,0,2.19,86.14
2024-10-11,PDYN,seq_eq_0,0,48.29,2.75
2024-10-14,ETON,seq_gt_1,>1,-19.78,6.91
2024-10-14,MRBK,seq_gt_1,>1,-0.47,13.05
2024-10-14,MS,seq_gt_1,>1,-2.30,110.46
2024-10-14,PPTA,seq_gt_1,>1,-1.94,9.36
2024-10-14,RSI,seq_gt_1,>1,-4.31,11.01
2024-10-14,SBGI,seq_gt_1,>1,-11.92,15.86
2024-10-14,TPIC,seq_gt_1,>1,-8.33,4.6
2024-10-14,ALRS,seq_eq_0,0,0.42,22.9
2024-10-14,AREN,seq_eq_0,0,10.53,0.86
2024-10-14,ASIX,seq_eq_0,0,4.46,31.19
2024-10-14,CIA,seq_eq_0,0,9.46,5.21
2024-10-14,DHT,seq_eq_0,0,6.17,12.04
2024-10-14,GILD,seq_eq_0,0,2.06,86.14
2024-10-14,PDYN,seq_eq_0,0,41.22,2.75
2024-10-15,ETON,seq_gt_1,>1,0.48,6.91
2024-10-15,MRBK,seq_gt_1,>1,-1.31,13.05
2024-10-15,MS,seq_gt_1,>1,-2.25,110.46
2024-10-15,PPTA,seq_gt_1,>1,-5.88,9.36
2024-10-15,RSI,seq_gt_1,>1,-1.54,11.01
2024-10-15,SBGI,seq_gt_1,>1,-12.29,15.86
2024-10-15,TPIC,seq_gt_1,>1,-6.07,4.6
2024-10-15,ALRS,seq_eq_1,1,-0.46,22.9
2024-10-15,AREN,seq_eq_0,0,5.06,0.86
2024-10-15,ASIX,seq_eq_0,0,6.06,31.19
2024-10-15,CIA,seq_eq_0,0,9.71,5.21
2024-10-15,DHT,seq_eq_0,0,9.07,12.04
2024-10-15,GILD,seq_eq_0,0,1.13,86.14
2024-10-15,PDYN,seq_eq_0,0,48.92,2.75
2024-10-16,ALRS,seq_gt_1,>1,-2.28,22.9
2024-10-16,BANR,seq_gt_1,>1,-3.87,64.28
2024-10-16,DAY,seq_gt_1,>1,-1.25,63.44
2024-10-16,FRGE,seq_gt_1,>1,-4.08,19.95
2024-10-16,LFST,seq_gt_1,>1,-5.20,7.13
2024-10-16,MRBK,seq_gt_1,>1,-1.39,13.05
2024-10-16,MS,seq_gt_1,>1,-8.21,110.46
2024-10-16,PPTA,seq_gt_1,>1,-7.23,9.36
2024-10-16,RF,seq_gt_1,>1,-0.96,23.85
2024-10-16,RSI,seq_gt_1,>1,-2.61,11.01
2024-10-16,SBGI,seq_gt_1,>1,-12.95,15.86
2024-10-16,TPIC,seq_gt_1,>1,-4.68,4.6
2024-10-16,AREN,seq_eq_0,0,3.80,0.86
2024-10-16,ASIX,seq_eq_0,0,4.57,31.19
2024-10-16,CIA,seq_eq_0,0,3.71,5.21
2024-10-16,DHT,seq_eq_0,0,7.32,12.04
2024-10-16,ETON,seq_eq_0,0,2.42,6.91
2024-10-16,GILD,seq_eq_0,0,0.02,86.14
2024-10-16,PDYN,seq_eq_0,0,51.77,2.75
2024-10-17,ALRS,seq_gt_1,>1,-3.16,22.9
2024-10-17,BANR,seq_gt_1,>1,-6.83,64.28
2024-10-17,DAY,seq_gt_1,>1,-1.24,63.44
2024-10-17,FRGE,seq_gt_1,>1,-3.91,19.95
2024-10-17,LFST,seq_gt_1,>1,-4.02,7.13
2024-10-17,MRBK,seq_gt_1,>1,-2.22,13.05
2024-10-17,MS,seq_gt_1,>1,-8.15,110.46
2024-10-17,PPTA,seq_gt_1,>1,-7.32,9.36
2024-10-17,RF,seq_gt_1,>1,-0.96,23.85
2024-10-17,RSI,seq_gt_1,>1,-2.70,11.01
2024-10-17,SBGI,seq_gt_1,>1,-13.31,15.86
2024-10-17,TARS,seq_gt_1,>1,-0.54,37.28
2024-10-17,GILD,seq_eq_1,1,-0.69,86.14
2024-10-17,AREN,seq_eq_0,0,9.33,0.86
2024-10-17,ASIX,seq_eq_0,0,3.79,31.19
2024-10-17,CIA,seq_eq_0,0,0.00,5.21
2024-10-17,DHT,seq_eq_0,0,6.09,12.04
2024-10-17,ETON,seq_eq_0,0,0.60,6.91
2024-10-17,PDYN,seq_eq_0,0,53.60,2.75
2024-10-17,TPIC,seq_eq_0,0,20.57,4.6
2024-10-18,ALRS,seq_gt_1,>1,-2.44,22.9
2024-10-18,BANR,seq_gt_1,>1,-5.21,64.28
2024-10-18,BBT,seq_gt_1,>1,-1.03,28.27
2024-10-18,CCOI,seq_gt_1,>1,-2.45,83.66
2024-10-18,DAY,seq_gt_1,>1,-3.02,63.44
2024-10-18,FRGE,seq_gt_1,>1,-7.25,19.95
2024-10-18,GBTG,seq_gt_1,>1,-0.63,7.89
2024-10-18,HDSN,seq_gt_1,>1,-1.72,8.18
