ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
AAON,upper_breakout,2024-07-11,88.57,87.33,1.42,-39.0,8,0.38,3.07,21.78,-8.07,105.47,1.0,-1.38,-3.57,-2.82,-1.32,-1.02,6.88,-10.07,9.0,-4.28,,,
AAON,upper_breakout,2024-07-26,87.59,85.46,2.49,-39.0,19,0.39,3.76,1.07,-9.08,81.88,2.0,-2.07,-1.05,7.95,23.1,0.09,9.46,-9.06,,,,,
AAT,under_touch,2025-03-12,20.26,20.1,0.81,12.2,346,1.45,2.71,-9.88,-58.87,7.06,,2.22,0.3,-8.54,-4.89,13.33,3.5,-17.62,1.0,-3.01,1.0,0.43,True
AAT,under_touch,2025-03-21,20.25,20.16,0.44,12.2,353,2.35,3.05,-7.24,-58.89,8.62,,-1.04,-7.51,-7.31,-0.49,13.38,2.27,-17.58,5.0,-1.04,2.0,0.5,True
AAT,under_touch,2025-03-28,20.04,20.21,-0.83,12.2,358,1.95,2.54,-10.77,-59.32,9.12,,-6.54,-8.68,-5.14,-1.0,14.57,2.05,-16.72,1.0,0.5,3.0,1.92,False
AAT,under_touch,2025-04-03,19.37,19.68,-1.57,10.7,15,1.03,2.57,-9.44,-60.68,8.83,,-7.33,-1.65,-1.34,4.34,18.53,0.72,-13.84,1.0,-3.3,1.0,2.13,False
AAT,under_touch,2025-04-07,18.08,18.5,-2.24,7.3,1,1.51,3.23,-13.12,-63.3,9.31,,4.15,4.76,4.59,11.95,26.99,7.91,-7.69,1.0,-4.37,1.0,5.0,False
AAT,under_touch,2025-04-09,18.53,17.15,8.03,3.4,1,1.16,4.01,-8.54,-62.38,9.69,,1.67,0.59,3.99,8.8,23.91,5.29,-6.64,,,1.0,2.69,True
ABCB,upper_breakout,2024-07-11,54.38,53.06,2.5,-3.8,114,1.08,2.4,16.12,-9.14,21.81,1.0,8.33,11.95,4.3,9.1,65.12,19.31,-2.89,,,,,
ABCB,upper_breakout,2025-04-09,54.9,51.56,6.48,-3.8,301,1.67,4.82,-2.8,-26.37,28.82,2.0,-3.68,3.46,10.53,13.06,63.55,11.35,-8.94,1.0,-6.89,,,
