ticker,side,event_date,event_close,line_price,slope_yr_%,days_since_anchor,ret_5d_%,ret_10d_%,ret_20d_%,ret_to_end_%
RMAX,under_bounce,2026-07-30,9.27,9.09,388.0,75,16.18,,,30.64
REPL,under_bounce,2026-07-10,10.99,10.49,308048.8,54,-6.92,-11.74,9.74,24.2
ARCT,under_bounce,2026-07-16,6.18,6.04,5.3,161,-6.31,-4.21,,21.68
BBAI,under_bounce,2026-07-24,2.76,2.73,54.9,493,1.09,18.48,,20.65
TMCI,under_bounce,2026-07-28,4.01,3.99,4227.0,53,18.2,18.2,,18.2
BTU,under_bounce,2026-07-29,20.82,20.1,76.3,328,9.51,,,17.24
PRCT,under_bounce,2026-07-08,19.8,19.74,5.8,90,-3.26,-10.58,-2.3,15.64
RNGR,under_bounce,2026-07-29,15.14,14.93,38.2,178,4.62,,,13.08
ASO,under_bounce,2026-07-08,44.46,44.07,25.4,311,6.21,9.9,7.67,11.47
UPST,under_bounce,2026-07-30,27.04,25.97,27.3,84,9.87,,,10.54
PSN,under_bounce,2026-07-31,44.21,43.99,9.5,1129,7.55,,,9.14
NTLA,under_bounce,2026-07-30,11.09,10.94,60.4,170,1.35,,,8.39
NVAX,under_bounce,2026-07-28,7.37,7.35,34.7,324,3.93,7.87,,7.87
NVTS,under_bounce,2026-07-21,12.82,12.47,416.4,320,-21.95,-1.05,,6.04
MGY,under_bounce,2026-07-21,25.09,24.99,38.2,133,-6.74,-2.03,,3.67
CWH,under_bounce,2026-07-27,6.12,5.87,9.0,88,9.8,0.49,,3.59
LXRX,under_bounce,2026-08-06,2.36,2.16,320.1,62,,,,2.97
ENVX,under_bounce,2026-07-16,4.7,4.62,0.1,89,-7.66,-11.06,,2.77
ADTN,under_bounce,2026-08-07,7.56,7.43,27.0,502,,,,2.65
BKKT,under_bounce,2026-07-17,7.25,7.1,11.7,75,2.62,-1.1,,1.66
ASIX,under_bounce,2026-08-07,16.48,15.13,10.4,179,,,,1.58
BLBD,under_bounce,2026-08-10,65.33,65.23,79.1,147,,,,1.3
AFCG,under_bounce,2026-07-20,2.73,2.7,84.2,111,-2.2,0.73,,0.73
NXDT,under_bounce,2026-08-03,4.71,4.57,134.6,164,0.42,,,-0.21
NXRT,under_bounce,2026-08-05,24.76,24.46,8.6,85,,,,-0.32
RM,under_bounce,2026-07-30,32.26,32.08,20.1,616,2.45,,,-1.95
INGN,under_bounce,2026-08-07,6.05,5.61,11.8,113,,,,-2.48
XPER,under_bounce,2026-08-10,6.81,6.81,84.2,88,,,,-2.79
DNUT,under_bounce,2026-07-21,3.19,3.16,24.5,106,2.51,-3.45,,-3.13
VNDA,under_bounce,2026-08-06,5.12,4.47,13.9,307,,,,-3.62
VERA,under_bounce,2026-08-03,32.23,31.32,65.9,247,-2.02,,,-6.02
VRCA,under_bounce,2026-07-17,5.59,5.26,98.2,79,-10.2,-6.62,,-6.62
AMSF,under_bounce,2026-08-03,30.18,29.87,6.5,60,-6.76,,,-7.16
CIM,under_bounce,2026-07-08,12.99,12.99,25.1,102,0.08,-2.93,-8.78,-8.39
BGS,under_bounce,2026-07-15,3.76,3.75,2.2,236,-4.79,-0.8,,-9.31
SITC,under_bounce,2026-08-05,3.28,3.28,2.5,1602,,,,-9.76
BXMT,under_bounce,2026-07-23,16.49,16.48,4.3,1590,-9.22,-16.07,,-11.22
MNRO,under_bounce,2026-07-30,13.44,13.16,7.4,250,-7.7,,,-13.28
FTCI,under_bounce,2026-07-27,3.2,3.08,33.4,324,-10.94,-11.56,,-16.25
FLNC,under_bounce,2026-08-04,15.67,15.37,220.1,66,-16.34,,,-16.34
UIS,under_bounce,2026-07-07,3.64,3.58,1174.9,58,10.44,-3.57,-17.86,-22.8
EVH,under_bounce,2026-07-22,5.57,5.53,2505.5,69,-40.75,-44.7,,-26.39
GDOT,under_bounce,2026-08-11,13.41,12.68,68.0,102,,,,
SMTI,upper_breakout,2026-07-21,25.5,25.37,-34.0,195,4.47,33.57,,34.82
PBF,upper_breakout,2026-07-08,52.9,50.86,-9.0,68,11.08,21.61,15.63,31.1
AMPL,upper_breakout,2026-07-14,9.69,9.35,-38.2,128,-1.03,-9.8,30.96,30.96
CRCT,upper_breakout,2026-07-29,4.79,4.7,-36.7,214,26.72,,,24.63
APPF,upper_breakout,2026-07-02,170.9,170.06,-51.1,121,2.74,5.17,5.44,18.79
TNET,upper_breakout,2026-07-13,57.56,55.57,-32.5,286,5.44,11.29,17.01,15.64
HL,upper_breakout,2026-08-04,15.39,14.96,-79.6,56,15.4,,,15.4
ICFI,upper_breakout,2026-07-13,79.13,77.68,-39.7,116,-2.19,1.11,15.65,14.47
WEYS,upper_breakout,2026-08-04,40.96,40.95,-0.1,434,14.45,,,14.45
CIX,upper_breakout,2026-07-28,28.08,27.91,-14.2,240,3.38,12.11,,12.11
CSW,upper_breakout,2026-07-30,313.4,302.07,-19.9,115,10.95,,,12.09
HQY,upper_breakout,2026-07-02,95.31,94.04,-18.3,149,-0.95,2.48,5.56,10.76
SGMT,upper_breakout,2026-08-05,8.64,8.51,-29.7,69,,,,10.19
XNCR,upper_breakout,2026-07-21,20.45,19.69,-18.3,405,-2.35,-2.59,,8.07
ATRC,upper_breakout,2026-07-28,39.75,39.27,-16.0,137,-1.89,8.05,,8.05
INTA,upper_breakout,2026-08-05,36.96,34.43,-42.7,149,,,,7.98
TBBK,upper_breakout,2026-07-01,64.54,64.36,-28.7,167,3.1,7.5,0.37,7.62
TCBX,upper_breakout,2026-07-16,41.89,41.57,-11.6,61,1.19,4.32,,7.21
AGM,upper_breakout,2026-07-30,220.3,215.22,-0.5,407,7.54,,,6.53
MMSI,upper_breakout,2026-08-04,85.82,85.8,-16.0,143,6.16,,,6.16
OSIS,upper_breakout,2026-07-30,219.92,219.27,-72.3,67,7.81,,,6.04
MPB,upper_breakout,2026-07-01,35.68,35.09,-0.9,101,-3.98,0.73,8.02,5.97
RNGR,upper_breakout,2026-07-21,16.19,16.16,-47.2,58,-10.25,-1.17,,5.74
HAE,upper_breakout,2026-07-28,82.54,82.03,-9.6,156,3.44,5.67,,5.67
BZH,upper_breakout,2026-07-09,31.41,31.13,-11.9,410,6.02,4.39,6.53,5.6
RCEL,upper_breakout,2026-08-07,7.77,6.17,-41.0,396,,,,5.53
BANR,upper_breakout,2026-07-14,69.05,68.65,-7.7,406,2.45,2.17,5.37,5.37
KFY,upper_breakout,2026-07-16,78.87,78.5,-1.6,417,-1.31,4.11,,4.92
ALTI,upper_breakout,2026-08-03,3.88,3.88,-42.9,144,10.82,,,4.9
IDT,upper_breakout,2026-07-14,62.38,61.56,-13.2,207,1.55,8.82,4.84,4.84
NMIH,upper_breakout,2026-07-16,42.51,42.03,-2.6,54,-2.19,2.19,,4.45
SSB,upper_breakout,2026-07-28,106.6,106.28,-4.3,117,2.65,3.55,,3.55
HRMY,upper_breakout,2026-07-07,38.26,37.88,-13.0,138,-9.02,-3.71,1.36,3.29
ITGR,upper_breakout,2026-07-31,121.21,108.95,-18.0,362,3.35,,,3.16
OTTR,upper_breakout,2026-07-02,91.39,91.19,-5.1,55,-2.66,1.58,-3.25,3.16
BRKL,upper_breakout,2026-07-07,24.84,19.35,0.0,1808,-5.56,-6.45,3.69,3.15
DYN,upper_breakout,2026-07-28,25.9,25.72,-27.3,483,0.27,3.13,,3.13
ANIK,upper_breakout,2026-08-03,20.74,19.31,-18.3,511,-0.27,,,2.39
ONB,upper_breakout,2026-07-01,26.23,26.13,-0.4,99,-0.23,4.04,0.69,2.33
CBAN,upper_breakout,2026-07-23,21.57,21.47,-2.4,66,0.83,2.13,,2.27
EBC,upper_breakout,2026-07-01,22.63,22.54,-0.4,101,-1.99,3.67,2.12,2.21
CLMB,upper_breakout,2026-07-27,27.17,26.39,-32.9,131,0.18,-0.18,,2.1
EQBK,upper_breakout,2026-07-01,50.2,49.78,-1.3,110,-4.58,2.59,1.06,2.09
ADUS,upper_breakout,2026-07-24,114.55,114.29,-11.3,179,0.81,4.48,,2.04
HP,upper_breakout,2026-08-10,41.87,41.01,-8.4,56,,,,1.65
WHD,upper_breakout,2026-08-10,71.07,68.58,-1.2,425,,,,1.36
QLYS,upper_breakout,2026-08-10,185.8,185.48,-4.0,657,,,,1.35
GRND,upper_breakout,2026-07-02,16.06,16.03,-34.1,272,-2.3,-4.98,7.97,1.06
HOMB,upper_breakout,2026-07-16,30.69,30.11,-5.3,109,0.13,1.53,,1.04
CRNX,upper_breakout,2026-07-07,83.53,56.09,-6.5,125,0.22,0.44,0.4,0.99
HOPE,upper_breakout,2026-07-28,14.12,13.98,-5.1,1128,1.7,0.85,,0.85
MLKN,upper_breakout,2026-07-28,23.6,23.45,-14.2,498,3.56,0.85,,0.85
SGHT,upper_breakout,2026-08-10,7.7,7.47,-29.4,154,,,,0.65
HVT,upper_breakout,2026-08-04,28.28,26.82,-12.4,617,0.5,,,0.5
SAFT,upper_breakout,2026-07-24,103.2,93.89,-1.5,1018,0.18,0.29,,0.16
HRI,upper_breakout,2026-08-04,170.8,170.05,-19.5,119,0.13,,,0.13
FA,upper_breakout,2026-07-14,21.15,21.08,-3.3,1172,-0.14,-1.28,0.09,0.09
LCNB,upper_breakout,2026-07-16,19.78,18.84,-2.9,2414,-1.16,1.42,,0.0
MGNI,upper_breakout,2026-08-06,24.32,22.23,-17.7,234,,,,-0.08
BWMN,upper_breakout,2026-08-10,42.42,34.0,-32.1,64,,,,-0.12
APPN,upper_breakout,2026-08-10,35.58,35.36,-30.4,184,,,,-0.2
GBTG,upper_breakout,2026-08-07,9.46,9.46,-3.3,65,,,,-0.21
HTO,upper_breakout,2026-07-02,62.42,62.03,-8.3,808,-1.52,4.82,-1.75,-0.22
ANF,upper_breakout,2026-08-10,118.53,115.68,-21.6,145,,,,-0.47
SKY,upper_breakout,2026-08-07,94.66,92.35,-13.2,115,,,,-0.52
ACIW,upper_breakout,2026-07-01,52.53,50.59,-10.0,334,7.37,11.69,9.82,-0.55
CBZ,upper_breakout,2026-07-29,54.9,54.74,-29.7,252,-0.18,,,-0.55
TOWN,upper_breakout,2026-07-27,37.78,37.7,-0.9,115,0.95,-1.46,,-0.9
IBEX,upper_breakout,2026-08-07,37.25,37.21,-14.9,134,,,,-1.5
SHOO,upper_breakout,2026-08-05,49.07,49.04,-1.1,461,,,,-1.59
ENSG,upper_breakout,2026-07-28,183.14,178.25,-39.2,68,-3.83,-1.61,,-1.61
AFRI,upper_breakout,2026-07-17,10.85,10.79,-9.7,140,-3.13,-1.29,,-1.94
AWR,upper_breakout,2026-07-17,89.28,88.38,-3.5,911,-3.21,-4.08,,-1.95
ITIC,upper_breakout,2026-07-17,289.22,287.99,-0.5,168,-2.31,0.02,,-2.03
SKYW,upper_breakout,2026-07-27,110.29,107.68,-14.5,223,0.99,-2.38,,-2.15
MAX,upper_breakout,2026-07-02,13.43,12.95,-27.4,542,-0.45,5.14,-7.82,-2.38
INDB,upper_breakout,2026-07-16,87.17,85.95,-2.8,109,-2.75,-3.2,,-2.72
ESCA,upper_breakout,2026-08-03,21.37,21.12,-3.7,61,0.0,,,-2.85
CVNA,upper_breakout,2026-08-10,74.16,72.58,-42.0,134,,,,-2.91
BANF,upper_breakout,2026-07-15,117.33,115.88,-19.1,60,-1.68,-3.29,,-3.19
RCKY,upper_breakout,2026-07-29,49.1,47.25,-7.0,105,1.73,,,-3.36
SVV,upper_breakout,2026-08-07,12.22,10.99,-26.2,193,,,,-3.44
FSS,upper_breakout,2026-07-06,133.86,132.59,-0.3,89,-12.64,-14.72,-3.54,-3.84
PLUS,upper_breakout,2026-07-28,92.6,90.81,-9.2,53,4.81,-4.08,,-4.08
TCBI,upper_breakout,2026-07-06,105.32,104.72,-9.2,52,-3.28,-1.73,-3.83,-4.72
TCBK,upper_breakout,2026-07-13,60.07,56.04,-1.2,917,-0.45,-4.16,-5.28,-4.91
PI,upper_breakout,2026-08-07,183.36,183.12,-32.0,193,,,,-5.03
QNST,upper_breakout,2026-08-10,22.02,21.28,-11.4,377,,,,-5.09
CENT,upper_breakout,2026-08-06,46.54,46.26,-1.2,557,,,,-5.16
FRME,upper_breakout,2026-07-16,45.23,44.28,-2.5,408,-7.38,-4.4,,-5.44
ZURA,upper_breakout,2026-08-07,5.96,5.93,-42.3,104,,,,-6.79
FLR,upper_breakout,2026-08-07,57.0,56.86,-3.1,437,,,,-7.11
KOD,upper_breakout,2026-08-06,45.4,44.55,-21.8,73,,,,-7.25
NNI,upper_breakout,2026-07-28,136.94,134.51,-25.0,55,-0.61,-8.48,,-8.48
NMRK,upper_breakout,2026-07-28,16.2,16.15,-24.1,54,-2.44,-8.8,,-8.8
EVER,upper_breakout,2026-07-20,27.54,26.36,-13.6,148,-4.68,-12.49,,-8.9
COGT,upper_breakout,2026-08-04,42.84,41.91,-6.3,163,-9.66,,,-9.66
GTY,upper_breakout,2026-07-16,35.98,35.23,-1.0,837,-3.53,-4.84,,-10.23
TENB,upper_breakout,2026-07-14,42.65,42.45,-9.1,608,-20.07,-26.45,-11.28,-11.28
IRMD,upper_breakout,2026-07-06,102.3,102.1,-13.1,84,-4.51,-5.15,-10.5,-13.06
NHI,upper_breakout,2026-07-21,81.1,80.41,-26.2,102,-3.16,-8.06,,-13.75
ABG,upper_breakout,2026-07-28,240.99,234.43,-17.7,128,-7.53,-13.79,,-13.79
ANNX,upper_breakout,2026-07-07,6.43,6.17,-28.8,112,-13.69,-16.17,-17.11,-16.95
FG,upper_breakout,2026-07-16,32.38,32.34,-24.3,353,-10.07,-10.04,,-17.2
RM,upper_breakout,2026-07-09,42.5,42.43,-9.6,201,0.47,-3.27,-22.24,-25.58
MQ,upper_breakout,2026-07-01,66.48,18.92,-36.1,224,-76.67,-73.09,-73.45,-76.58
ALIT,upper_breakout,2026-07-01,274.6,163.35,-10.1,569,-93.29,-92.14,-93.35,-95.08
