ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
QIPT,under_touch,2025-10-29,2.4,2.57,-6.54,314.3,12,1.63,5.71,-10.11,-68.91,0.81,,-2.08,-2.08,0.42,47.08,52.08,3.75,-10.42,1.0,-3.33,3.0,8.1,False
QIPT,under_touch,2025-10-31,2.45,2.33,5.11,227.6,1,3.85,5.63,-6.13,-68.26,1.01,,0.82,-5.71,-2.04,44.08,48.98,1.22,-12.24,1.0,-6.12,1.0,0.47,True
QIPT,under_touch,2025-11-13,2.3,2.29,0.59,189.3,7,0.72,5.16,-5.74,-70.21,0.88,,-4.78,6.09,13.48,55.65,58.7,15.0,-6.52,2.0,-2.17,1.0,1.6,True
QIPT,under_touch,2025-11-19,2.21,2.21,0.07,161.5,1,0.57,4.98,-14.67,-71.37,0.65,,9.05,11.76,58.82,62.44,65.16,60.18,-2.71,1.0,-0.9,1.0,0.38,True
QLYS,upper_breakout,2026-08-10,185.8,185.48,0.17,-4.0,657,1.1,5.84,22.61,-9.96,155.96,1.0,,,,,5.43,5.75,-2.91,,,,,
QLYS,under_touch,2026-02-12,104.79,106.59,-1.69,20.2,2517,1.34,6.23,-21.82,-49.22,69.89,,-11.58,-11.76,-4.85,-22.32,86.93,3.31,-18.76,1.0,0.11,1.0,1.9,False
QLYS,under_touch,2026-02-17,103.91,104.3,-0.37,20.0,1,1.06,6.29,-22.78,-49.64,74.98,,-16.44,-6.27,-8.5,-18.03,88.51,1.38,-18.07,2.0,-0.68,1.0,2.1,False
QLYS,under_touch,2026-02-23,86.65,92.11,-5.93,18.8,1,1.73,8.46,-32.72,-58.01,73.96,,9.16,11.21,12.34,-0.43,126.06,18.87,-0.54,1.0,0.21,1.0,7.58,False
QLYS,under_touch,2026-03-27,85.63,86.49,-1.0,18.1,24,1.69,5.45,-7.4,-58.5,54.7,,5.48,-4.94,-0.55,19.48,128.75,7.46,-12.99,3.0,0.67,1.0,5.12,False
QLYS,under_touch,2026-04-02,88.36,86.72,1.89,18.1,28,1.1,5.15,-11.15,-57.18,59.42,,-13.76,-5.87,0.19,29.04,121.68,4.14,-15.67,4.0,-13.22,2.0,0.88,True
QLYS,under_touch,2026-04-09,76.68,86.95,-11.81,18.1,32,2.16,6.65,-20.67,-62.84,60.3,,9.66,9.6,23.85,43.32,155.45,24.69,-2.54,1.0,-0.63,3.0,14.31,False
QNST,upper_breakout,2026-08-10,22.02,21.28,3.48,-11.4,377,1.93,4.87,25.04,-16.18,20.79,1.0,,,,,-5.81,-0.32,-7.63,1.0,-5.09,,,
QTRX,under_touch,2025-08-08,4.75,5.42,-12.3,246.0,58,2.74,9.85,-19.35,-94.87,3.31,,-3.79,1.68,-4.84,23.79,-39.79,13.89,-10.53,1.0,-3.58,1.0,23.38,False
QTRX,under_touch,2026-03-19,4.41,4.42,-0.25,11.0,153,0.62,9.07,-25.88,-95.24,2.97,,-11.56,-14.06,-20.63,-37.64,-35.15,3.17,-26.64,1.0,-2.95,1.0,1.49,False
QTRX,under_touch,2026-03-23,3.94,4.2,-6.09,4.2,1,3.02,8.97,-30.51,-95.74,2.95,,-12.94,-10.15,-18.27,-36.29,-27.41,4.75,-19.54,1.0,-3.05,1.0,7.05,False
QTRX,under_touch,2026-03-26,3.9,4.11,-5.21,507708482.8,1,0.58,7.93,-41.96,-95.79,2.86,,-2.82,-13.85,-15.9,-31.03,-26.67,0.0,-22.05,1.0,-8.21,1.0,6.06,False
QTRX,under_touch,2026-04-01,3.48,3.65,-4.55,2935178.2,1,2.08,8.81,-40.61,-96.24,2.94,,-5.17,-2.3,-10.06,-12.07,-17.82,12.07,-15.23,1.0,8.91,1.0,5.1,False
QTRX,under_touch,2026-04-09,3.3,3.41,-3.14,64.6,4,0.86,9.92,-34.13,-96.44,2.82,,3.03,-4.24,-16.67,0.0,-13.33,12.58,-22.42,1.0,1.82,1.0,4.02,False
QTRX,under_touch,2026-04-20,3.3,3.42,-3.49,923.9,5,1.17,8.59,-22.9,-96.44,3.45,,-2.73,2.12,-23.64,-7.27,-13.33,8.79,-24.7,1.0,-2.42,1.0,5.53,False
QTRX,under_touch,2026-04-24,3.28,3.55,-7.55,923.9,9,0.71,7.45,-15.9,-96.46,3.29,,3.66,-13.87,-17.99,-1.83,-12.8,9.45,-26.98,1.0,-2.13,2.0,12.62,False
QTRX,under_touch,2026-04-27,3.21,3.16,1.54,13672.2,1,0.86,7.64,-10.34,-96.53,3.13,,4.98,-12.77,-16.51,17.76,-10.9,11.84,-25.39,2.0,-4.98,1.0,1.14,True
