ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
AAON,upper_breakout,2023-07-14,66.3,65.68,0.95,-26.5,16,0.85,2.24,5.12,-4.67,18.07,1.0,1.6,3.59,-4.86,-2.37,32.23,7.68,-6.98,16.0,-5.02,,,
AAON,upper_breakout,2023-08-14,64.16,64.02,0.23,-26.5,37,0.63,3.93,-7.3,-10.13,20.65,2.0,-3.41,-5.27,-1.9,-8.81,36.64,4.04,-36.8,1.0,-1.81,,,
AAON,upper_breakout,2023-08-23,61.59,61.47,0.2,-91.9,13,1.39,8.44,-8.61,-13.73,23.17,1.0,1.93,6.67,-7.97,-14.19,42.34,8.38,-7.99,1.0,-2.58,,,
AAON,upper_breakout,2023-08-25,60.7,60.26,0.74,-91.9,15,0.45,7.87,-11.62,-14.97,22.87,2.0,8.17,6.64,-5.95,-11.8,44.43,9.97,-6.87,,,,,
AAON,upper_breakout,2024-06-25,84.74,82.55,2.65,-63.1,37,1.14,3.4,8.28,-12.04,68.68,1.0,1.25,0.71,0.05,8.51,3.46,11.71,-1.94,,,,,
AAT,under_touch,2023-09-21,19.26,19.82,-2.82,53.7,62,1.05,2.54,-7.98,-60.9,6.99,,1.3,-4.52,-6.13,0.0,19.21,3.22,-8.41,1.0,-1.35,1.0,2.87,False
AAT,under_touch,2023-09-25,18.96,19.01,-0.24,40.4,1,1.45,2.44,-8.8,-61.51,7.55,,0.42,-3.16,-7.28,0.63,21.1,4.85,-9.55,1.0,-0.47,1.0,1.03,False
AAT,under_touch,2023-10-03,18.12,18.81,-3.69,35.6,5,1.16,3.12,-12.84,-63.22,7.52,,1.82,5.13,-2.04,9.27,26.71,6.24,-5.35,1.0,1.6,1.0,4.64,False
AAT,under_touch,2023-10-06,18.19,17.99,1.14,23.8,3,0.57,3.13,-11.18,-63.07,7.43,,0.55,-1.15,9.68,17.37,26.22,9.73,-5.72,9.0,-0.6,1.0,1.92,True
AAT,under_touch,2023-10-13,18.29,18.06,1.26,23.8,8,0.67,2.98,-11.08,-62.87,5.68,,-1.69,-3.17,0.6,17.33,25.53,10.11,-6.23,4.0,-1.15,2.0,0.07,True
AAT,under_touch,2023-10-19,18.08,18.12,-0.24,23.8,12,0.68,3.18,-6.13,-63.3,5.4,,-1.27,5.37,6.53,27.21,26.99,12.56,-5.14,1.0,-0.55,3.0,0.3,False
AAT,under_touch,2023-10-23,17.58,17.78,-1.11,19.4,11,3.58,3.09,-7.28,-64.31,5.52,,1.99,12.06,8.53,28.95,30.6,15.76,-1.93,1.0,0.23,1.0,3.53,False
ABCB,upper_breakout,2023-12-14,52.56,50.46,4.16,-6.4,273,1.71,2.95,20.74,-12.18,17.56,1.0,-1.56,0.93,-5.06,-12.18,70.83,2.44,-5.56,12.0,-4.6,,,
ABCB,upper_breakout,2024-01-04,50.44,50.29,0.3,-6.4,286,0.85,3.09,10.23,-15.72,26.25,2.0,1.47,2.18,-2.42,-9.79,78.01,7.04,-12.77,7.0,-1.07,,,
ABCB,upper_breakout,2024-01-19,51.54,50.15,2.76,-6.4,296,0.8,3.65,-1.79,-13.88,20.45,3.0,2.33,-4.5,-7.99,-10.96,74.21,4.75,-11.93,8.0,-3.69,,,
ABG,upper_breakout,2023-07-11,250.85,246.21,1.88,-6.7,7,1.05,3.06,10.87,-2.16,57.09,1.0,-1.37,-12.97,-12.46,-10.21,-16.08,1.67,-13.81,3.0,-3.03,,,
ABG,upper_breakout,2023-07-18,247.42,245.87,0.63,-6.7,12,0.73,2.93,11.56,-3.5,46.53,2.0,-11.77,-8.88,-9.79,-10.85,-14.91,1.79,-12.61,2.0,-1.75,,,
ABG,upper_breakout,2023-09-01,233.48,232.69,0.34,-47.4,31,0.9,2.3,5.44,-8.94,27.98,1.0,-5.33,-3.24,-6.27,-20.31,-9.83,0.65,-7.11,1.0,-2.57,,,
ABG,upper_breakout,2023-09-14,234.19,229.66,1.97,-45.3,8,1.97,2.64,6.78,-8.66,31.56,1.0,-3.83,-2.14,-9.18,-15.21,-10.11,0.35,-11.7,1.0,-3.87,,,
ABG,upper_breakout,2023-09-27,225.47,224.77,0.31,-45.3,17,0.52,2.95,-0.06,-12.06,41.77,2.0,-4.95,-3.28,-17.98,-8.16,-6.63,3.3,-20.88,3.0,-2.94,,,
ABG,upper_breakout,2023-11-15,222.74,220.87,0.84,-34.1,32,0.86,3.33,4.66,-13.12,36.92,1.0,-7.04,-5.8,5.21,-9.05,-5.49,6.98,-9.1,1.0,-7.97,,,
ABG,upper_breakout,2023-12-04,222.71,222.19,0.24,-29.8,12,1.22,3.47,6.04,-13.14,26.79,1.0,-2.79,0.16,-6.3,-4.06,-5.47,6.99,-6.61,1.0,-2.47,,,
ABG,upper_breakout,2023-12-13,221.75,220.01,0.79,-29.8,19,1.69,2.94,1.45,-13.51,27.81,2.0,0.02,2.58,-8.8,0.29,-5.06,7.45,-9.76,13.0,-5.9,,,
ABG,upper_breakout,2024-03-27,233.73,227.43,2.77,-15.4,70,0.74,2.48,12.21,-8.84,40.82,1.0,-4.78,-5.71,-7.11,-2.42,-9.93,1.23,-11.6,3.0,-3.15,,,
ABG,upper_breakout,2024-04-09,229.98,226.22,1.66,-15.4,78,0.84,2.52,9.24,-10.3,35.92,2.0,-5.9,-3.39,-4.64,2.94,-8.46,-1.53,-10.16,1.0,-4.32,,,
ABG,upper_breakout,2024-05-13,234.85,233.37,0.64,-10.6,31,1.25,3.06,9.17,-8.4,41.15,1.0,1.77,-1.03,-1.93,3.7,-10.36,4.38,-4.05,8.0,-2.88,,,
ABG,upper_breakout,2024-05-28,232.44,232.33,0.05,-10.6,41,0.8,2.57,6.39,-9.34,39.34,2.0,2.28,-0.92,-4.45,7.32,-9.43,4.92,-4.68,1.0,-2.17,,,
ABG,upper_breakout,2024-05-30,233.61,232.13,0.64,-10.6,43,0.76,2.57,10.9,-8.88,38.02,3.0,0.78,-0.11,-2.46,9.41,-9.88,4.4,-5.16,8.0,-1.41,,,
ABG,upper_breakout,2024-06-12,234.54,231.2,1.44,-10.6,52,1.06,2.59,-3.48,-8.52,34.16,4.0,-2.69,-3.58,5.73,-0.26,-10.24,6.66,-5.53,2.0,-1.97,,,
ABG,upper_breakout,2024-06-17,235.75,230.89,2.1,-10.6,55,0.73,2.72,-2.23,-8.05,33.15,5.0,-5.13,-3.58,8.52,-5.32,-10.7,10.15,-6.02,2.0,-3.19,,,
ABM,upper_breakout,2023-12-13,52.3,51.91,0.75,-2.4,413,5.43,2.56,25.66,-5.73,25.05,1.0,-13.19,-13.48,-19.56,-21.49,-7.93,1.43,-20.38,1.0,-10.21,,,
ABM,upper_breakout,2024-06-21,52.64,52.61,0.05,-1.6,129,7.37,2.6,10.43,-5.12,42.81,1.0,-3.93,-5.76,3.38,3.74,-8.53,3.5,-7.45,1.0,-2.6,,,
ACDC,under_touch,2023-07-05,11.3,11.15,1.37,326.3,2,0.79,5.25,-3.58,-58.15,8.05,,11.15,13.63,8.85,-2.04,-53.45,16.19,-6.19,1.0,-2.21,1.0,0.25,True
ACDC,under_touch,2023-07-28,12.39,12.29,0.79,326.3,19,0.73,3.74,8.02,-54.11,5.41,,1.94,-9.12,-17.27,-12.83,-57.55,14.85,-19.53,3.0,-0.73,2.0,0.27,True
ACDC,under_touch,2023-08-03,12.44,12.58,-1.11,326.3,23,0.88,4.0,12.58,-53.93,5.48,,-3.54,-14.71,-11.58,-12.54,-57.72,14.39,-19.86,1.0,1.53,3.0,3.41,False
ACDC,under_touch,2023-08-10,12.0,11.8,1.73,193.8,25,3.78,5.15,-4.61,-55.56,6.29,,-11.58,-14.92,-7.17,-26.08,-56.17,-0.83,-16.92,1.0,-6.17,1.0,0.31,True
ACDC,under_touch,2023-08-15,10.37,10.81,-4.07,100.4,1,1.21,6.63,-17.5,-61.59,5.88,,0.19,4.34,7.23,-4.92,-49.28,12.63,-3.86,1.0,0.87,1.0,5.18,False
ACDC,under_touch,2023-08-18,10.91,10.31,5.82,63.6,3,1.09,6.3,-13.21,-59.59,6.59,,-6.05,1.56,1.83,-13.2,-51.79,9.44,-8.62,4.0,-6.42,1.0,0.0,True
ACDC,under_touch,2023-08-24,10.21,10.39,-1.74,63.6,7,0.7,6.53,-17.93,-62.19,6.31,,7.74,9.11,3.82,-7.35,-48.48,16.94,-2.35,1.0,0.39,2.0,2.03,False
ACDC,under_touch,2023-10-02,10.21,10.32,-1.04,41.2,25,1.18,5.3,-7.85,-62.19,6.36,,-5.88,-7.25,-6.66,-20.86,-48.48,0.88,-15.77,1.0,-1.18,1.0,1.33,False
ACDC,under_touch,2023-10-04,9.47,10.02,-5.49,30.4,1,1.01,5.52,-13.59,-64.93,6.15,,4.12,-0.32,-3.59,-14.89,-44.46,5.39,-9.19,1.0,-4.33,1.0,5.79,False
ACDC,under_touch,2023-10-06,8.87,9.01,-1.55,0.0,1,1.09,5.65,-20.38,-67.15,5.83,,7.78,6.65,8.57,-4.4,-40.7,14.32,-3.04,,,1.0,2.11,False
ACDC,under_touch,2023-10-17,9.57,9.01,6.22,0.0,8,1.89,5.7,-14.25,-64.56,5.52,,-5.75,-1.57,-7.11,-14.21,-45.04,5.96,-19.02,15.0,-12.23,2.0,1.33,True
