ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,touch_no,pierce_depth_pct,closed_above,event_date_ts,status,spy_ret_20d,spy_above_ma200,confidence,drivers
FCPT,under_touch,2026-08-11,24.53,24.39,0.56,10.7,168,0.69,2.18,-2.47,-24.52,18.25,,6.0,0.46,1.0,2026-08-11,2026-08-11,2.491254671933807,1.0,55.4,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↑
VNDA,under_touch,2026-08-06,5.12,4.47,14.51,13.9,307,2.49,5.06,-19.83,-84.7,4.81,,1.0,0.43,1.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,54.7,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↑
SAMG,under_touch,2026-08-11,10.03,9.75,2.83,7.3,16,0.93,4.31,-3.09,-56.77,0.6,,3.0,0.0,1.0,,מתקרב,2.491254671933807,1.0,53.6,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↑
IVR,under_touch,2026-08-06,7.4,7.4,0.06,19.3,5,0.69,2.21,-7.15,-97.03,21.05,,2.0,0.49,1.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,53.4,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
MNRO,under_touch,2026-08-10,11.76,12.18,-3.45,7.1,6,1.37,7.91,-28.77,-86.89,11.93,,1.0,4.27,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,53.1,משטר שוק (SPY>MA200) ↓ · ראן-אפ 20 יום ↓
XAIR,under_touch,2026-08-07,5.36,5.36,-0.01,17.2,15,0.28,10.75,-35.73,-99.92,0.25,,3.0,0.01,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.6,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
GDOT,under_touch,2026-08-11,13.41,12.79,4.86,69.0,103,2.57,2.4,0.6,-85.58,5.08,,2.0,1.86,1.0,2026-08-11,2026-08-11,2.491254671933807,1.0,51.5,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↑
USNA,under_touch,2026-08-10,14.34,14.37,-0.2,17.8,2,1.81,10.72,-34.91,-89.6,2.35,,1.0,1.24,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,51.5,משטר שוק (SPY>MA200) ↓ · ראן-אפ 20 יום ↓
SBGI,under_touch,2026-08-11,13.67,13.57,0.74,17.7,93,0.96,5.03,-1.01,-79.47,7.79,,5.0,2.47,1.0,2026-08-11,2026-08-11,2.491254671933807,1.0,51.4,משטר שוק (SPY>MA200) ↓ · שיפוע הקו ↑
VRCA,under_touch,2026-08-07,5.08,5.08,-0.03,79.3,7,3.63,8.41,-18.85,-97.82,0.18,,1.0,7.51,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
