ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,touch_no,pierce_depth_pct,closed_above,event_date_ts,status,spy_ret_20d,spy_above_ma200,confidence,drivers
FIHL,upper_breakout,2026-08-11,24.49,25.22,-2.88,-13.1,20,0.98,2.75,-2.93,-7.02,7.51,5.0,,,0.0,,מתקרב,2.491254671933807,1.0,65.3,בגרות הקו ↑ · מספר ניסיון פריצה ↑
APGE,upper_breakout,2026-08-06,134.49,134.29,0.15,-4.0,2,1.06,0.18,0.69,-0.07,155.85,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,65.3,ראן-אפ 20 יום ↑ · בגרות הקו ↑
WAFD,upper_breakout,2026-08-11,38.06,38.17,-0.28,-0.7,426,0.86,1.49,0.13,-3.61,24.02,3.0,,,0.0,,מתקרב,2.491254671933807,1.0,65.3,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
OSW,upper_breakout,2026-08-11,25.99,26.21,-0.85,-41.5,34,0.9,3.19,-1.96,-11.14,24.47,5.0,,,0.0,,מתקרב,2.491254671933807,1.0,65.3,ראן-אפ 20 יום ↑ · בגרות הקו ↑
CPK,upper_breakout,2026-08-11,133.56,133.12,0.33,-2.0,327,0.79,2.57,1.85,-8.71,25.96,12.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,65.3,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
AWR,upper_breakout,2026-08-11,87.54,88.17,-0.71,-3.5,928,0.66,2.48,2.98,-15.64,26.2,2.0,,,0.0,,מתקרב,2.491254671933807,1.0,64.4,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
TGNA,upper_breakout,2026-03-20,20.03,20.54,-2.49,-6.6,143,0.0,1.43,-3.84,-78.08,50.24,2.0,,,0.0,,מתקרב,-5.926635046342621,0.0,64.3,משטר שוק (SPY>MA200) ↑ · מגמת השוק (SPY 20י) ↑
CRNX,upper_breakout,2026-08-07,84.08,84.0,0.1,0.0,16,0.59,0.29,0.6,-0.26,277.46,2.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,63.8,ראן-אפ 20 יום ↑ · בגרות הקו ↑
HTO,upper_breakout,2026-08-11,62.28,61.46,1.34,-8.3,835,0.8,2.73,-1.05,-25.75,29.19,4.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,63.3,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
AVO,upper_breakout,2026-08-07,13.2,12.66,4.3,-10.9,406,1.55,3.55,-0.98,-42.43,11.41,7.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,63.1,ראן-אפ 20 יום ↑ · מספר ניסיון פריצה ↑
AKRO,upper_breakout,2025-12-09,54.65,56.23,-2.81,-4.3,114,0.0,0.29,0.94,-6.42,124.37,1.0,,,0.0,,מתקרב,0.2347969006808892,1.0,62.3,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↑
CTRE,upper_breakout,2026-08-07,41.22,40.97,0.61,-86.1,4,0.92,2.38,2.49,-5.5,86.32,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,62.2,ראן-אפ 20 יום ↑ · בגרות הקו ↑
GCMG,upper_breakout,2026-08-11,13.98,14.18,-1.43,-1.4,369,1.65,3.21,1.23,-8.98,8.25,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,61.6,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
CYTK,upper_breakout,2026-08-11,76.45,78.66,-2.81,-12.3,36,0.69,3.81,-6.69,-30.66,140.28,5.0,,,0.0,,מתקרב,2.491254671933807,1.0,61.5,בגרות הקו ↑ · מספר ניסיון פריצה ↑
MAX,upper_breakout,2026-08-07,13.4,12.54,6.82,-27.4,567,0.8,5.65,0.22,-80.95,15.46,3.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,61.5,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
HTBK,upper_breakout,2026-08-11,13.45,13.45,0.01,-3.6,2054,,,0.0,-50.8,,2.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,61.3,ראן-אפ 20 יום ↑ · מגמת השוק (SPY 20י) ↓
TRMK,upper_breakout,2026-08-10,47.3,47.02,0.59,-99.4,1,0.56,1.68,1.96,-3.47,22.51,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,60.9,ראן-אפ 20 יום ↑ · בגרות הקו ↑
UVE,upper_breakout,2026-08-11,42.91,43.88,-2.2,-1.8,27,0.68,3.55,3.52,-15.03,9.76,3.0,,,0.0,,מתקרב,2.491254671933807,1.0,58.7,בגרות הקו ↑ · מחזור דולרי ↑
EPRT,upper_breakout,2026-08-11,30.06,30.14,-0.28,-8.3,293,0.83,1.88,-3.65,-13.82,47.44,9.0,,,0.0,,מתקרב,2.491254671933807,1.0,58.2,מספר ניסיון פריצה ↑ · ראן-אפ 20 יום ↑
GENC,upper_breakout,2026-08-07,14.47,14.44,0.22,-23.7,424,0.45,4.32,-6.65,-41.84,0.41,5.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,58.0,מספר ניסיון פריצה ↑ · ראן-אפ 20 יום ↑
BCO,upper_breakout,2026-08-11,113.91,113.97,-0.06,-0.9,248,0.87,4.46,4.39,-16.47,69.47,11.0,,,0.0,,מתקרב,2.491254671933807,1.0,57.9,מספר ניסיון פריצה ↑ · מגמת השוק (SPY 20י) ↓
MLYS,upper_breakout,2026-08-11,27.33,27.78,-1.61,-52.1,50,1.08,4.27,0.18,-42.64,17.18,2.0,,,0.0,,מתקרב,2.491254671933807,1.0,57.6,ראן-אפ 20 יום ↑ · מחזור דולרי ↑
VSEC,upper_breakout,2026-08-11,241.82,237.46,1.83,-11.8,3,1.21,4.75,15.93,-0.29,106.12,1.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,57.0,ראן-אפ 20 יום ↓ · בגרות הקו ↑
EVER,upper_breakout,2026-08-07,25.71,24.15,6.45,-14.8,344,0.75,6.32,3.54,-59.47,20.13,4.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,56.8,מחזור דולרי ↑ · תנודתיות (ATR) ↓
CZNC,upper_breakout,2026-08-11,25.59,26.22,-2.4,-1.5,1659,0.96,2.94,11.6,-29.72,1.74,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.7,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
ORA,upper_breakout,2026-08-10,111.7,111.39,0.28,-77.6,37,1.19,3.7,4.58,-23.7,101.08,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,56.6,בגרות הקו ↑ · שיפוע הקו ↓
RYTM,upper_breakout,2026-08-07,115.63,115.02,0.53,-8.9,21,0.96,4.4,6.67,-5.38,80.98,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,56.5,בגרות הקו ↑ · מגמת השוק (SPY 20י) ↓
PATK,upper_breakout,2026-08-11,87.42,88.37,-1.08,-65.5,2,0.58,3.86,3.73,-41.13,50.31,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.5,בגרות הקו ↑ · שיפוע הקו ↓
WHD,upper_breakout,2026-08-10,71.07,68.58,3.63,-1.2,425,0.94,4.06,32.92,-0.03,61.89,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,56.4,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
BGC,upper_breakout,2026-08-11,10.16,10.22,-0.61,-7.9,436,0.68,3.67,-7.13,-88.7,24.45,3.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.4,מחזור דולרי ↑ · ראן-אפ 20 יום ↑
CENTA,upper_breakout,2026-08-06,40.6,38.56,5.3,-2.8,557,2.52,3.16,7.86,-9.09,11.1,5.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,56.4,מספר ניסיון פריצה ↑ · מחזור דולרי ↑
KMT,upper_breakout,2026-08-11,30.24,30.94,-2.27,-6.0,1343,1.61,6.18,-11.89,-42.42,40.38,2.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.3,תנודתיות (ATR) ↓ · ראן-אפ 20 יום ↑
WERN,upper_breakout,2026-08-11,36.43,36.73,-0.83,-8.6,128,0.85,4.82,-18.68,-27.59,53.63,3.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.3,בגרות הקו ↓ · ראן-אפ 20 יום ↑
KWR,upper_breakout,2026-08-07,169.95,167.72,1.33,-10.2,653,1.22,4.58,14.7,-43.72,23.36,3.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,56.2,ראן-אפ 20 יום ↓ · מחזור דולרי ↑
CNO,upper_breakout,2026-08-11,54.63,55.56,-1.67,-72.6,3,0.86,2.23,4.68,-5.14,36.06,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.0,בגרות הקו ↑ · שיפוע הקו ↓
CGEM,upper_breakout,2026-08-11,19.63,18.55,5.84,-19.5,566,1.48,5.12,10.47,-67.2,10.74,1.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,56.0,ראן-אפ 20 יום ↓ · מחזור דולרי ↑
HIFS,upper_breakout,2026-08-11,311.5,303.34,2.69,-7.4,167,0.71,3.2,8.24,-27.93,14.37,7.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,56.0,בגרות הקו ↓ · מספר ניסיון פריצה ↑
SHOO,upper_breakout,2026-08-11,48.29,49.03,-1.52,-1.1,465,0.88,3.94,13.77,-6.34,51.2,2.0,,,0.0,,מתקרב,2.491254671933807,1.0,56.0,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
HBCP,upper_breakout,2026-08-11,71.68,72.06,-0.53,-65.8,2,0.67,2.2,4.81,-1.79,8.47,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,55.9,בגרות הקו ↑ · מחזור דולרי ↑
FRSH,upper_breakout,2026-08-11,11.97,12.34,-3.0,-26.5,385,0.54,5.1,14.33,-77.57,142.78,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,55.8,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
PINE,upper_breakout,2026-08-11,19.61,19.92,-1.54,-1.2,879,0.61,3.06,-4.85,-10.82,3.12,6.0,,,0.0,,מתקרב,2.491254671933807,1.0,55.8,מחזור דולרי ↓ · מספר ניסיון פריצה ↑
FRST,upper_breakout,2026-08-11,16.33,16.65,-1.94,-1.1,2041,1.01,2.87,4.21,-11.63,2.95,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,55.7,מחזור דולרי ↓ · מגמת השוק (SPY 20י) ↓
STAA,upper_breakout,2026-08-07,24.21,23.72,2.07,-32.5,81,0.77,5.25,-12.79,-85.15,25.6,5.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,55.6,מחזור דולרי ↑ · מספר ניסיון פריצה ↑
FENC,upper_breakout,2026-08-06,10.84,10.75,0.88,-3.9,652,0.85,5.56,5.14,-27.69,1.53,3.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,55.5,תנודתיות (ATR) ↓ · מגמת השוק (SPY 20י) ↓
ROAD,upper_breakout,2026-08-07,119.74,105.62,13.37,-76.6,33,1.41,4.76,26.19,-20.7,167.4,3.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,55.3,ראן-אפ 20 יום ↓ · בגרות הקו ↑
TRTX,upper_breakout,2026-08-11,8.0,8.16,-1.91,-13.8,237,1.11,2.67,-6.1,-62.44,6.57,12.0,,,0.0,,מתקרב,2.491254671933807,1.0,55.2,מחזור דולרי ↓ · מספר ניסיון פריצה ↑
ASO,upper_breakout,2026-08-10,49.89,48.15,3.61,-17.1,237,0.81,3.86,7.31,-34.12,54.97,11.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,55.1,מספר ניסיון פריצה ↑ · מגמת השוק (SPY 20י) ↓
GDEN,upper_breakout,2026-05-01,28.55,29.27,-2.46,-16.2,690,0.0,1.82,5.58,-52.38,16.04,1.0,,,0.0,,מתקרב,9.883658875013325,1.0,55.1,מחזור דולרי ↑ · מגמת השוק (SPY 20י) ↓
TIPT,upper_breakout,2026-08-11,18.03,18.25,-1.2,-24.7,238,0.62,2.28,0.9,-34.22,3.92,4.0,,,0.0,,מתקרב,2.491254671933807,1.0,54.9,ראן-אפ 20 יום ↑ · מחזור דולרי ↓
COHU,upper_breakout,2026-08-11,52.82,49.55,6.61,-0.8,1378,0.56,9.18,-5.31,-29.2,52.57,4.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,54.9,תנודתיות (ATR) ↓ · ראן-אפ 20 יום ↑
FLR,upper_breakout,2026-08-07,57.0,56.86,0.25,-3.1,437,3.15,4.8,12.34,-43.76,143.93,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,54.4,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
QLYS,upper_breakout,2026-08-10,185.8,185.48,0.17,-4.0,657,1.1,5.84,22.61,-9.96,155.96,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,53.9,ראן-אפ 20 יום ↓ · תנודתיות (ATR) ↓
PLXS,upper_breakout,2026-08-11,270.32,273.73,-1.24,-56.3,29,0.47,5.22,3.83,-11.97,88.92,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,53.3,בגרות הקו ↑ · שיפוע הקו ↓
CHEF,upper_breakout,2026-08-11,109.31,109.19,0.11,-95.1,1,0.41,4.2,10.65,-6.84,75.92,1.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,53.0,ראן-אפ 20 יום ↓ · בגרות הקו ↑
JMSB,upper_breakout,2026-08-11,23.23,23.92,-2.9,-5.8,436,0.51,3.15,6.56,-22.33,0.85,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,52.9,מגמת השוק (SPY 20י) ↓ · בגרות הקו ↑
DNOW,upper_breakout,2026-08-11,16.66,16.7,-0.26,-6.5,373,1.13,3.69,26.98,-55.75,45.02,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,52.8,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
INSW,upper_breakout,2026-08-06,93.21,88.99,4.74,-100.0,2,0.91,3.42,12.33,-5.11,44.09,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,52.6,ראן-אפ 20 יום ↓ · בגרות הקו ↑
HP,upper_breakout,2026-08-10,41.87,40.72,2.82,-8.5,66,3.05,4.05,23.26,-64.8,49.34,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,52.4,ראן-אפ 20 יום ↓ · בגרות הקו ↓
ANIK,upper_breakout,2026-08-06,20.16,19.26,4.68,-18.3,514,2.11,5.66,25.3,-73.38,1.85,2.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,52.2,ראן-אפ 20 יום ↓ · תנודתיות (ATR) ↓
APPN,upper_breakout,2026-08-10,35.58,35.36,0.61,-30.4,184,0.86,6.9,36.58,-86.32,32.62,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,52.2,ראן-אפ 20 יום ↓ · בגרות הקו ↓
ESCA,upper_breakout,2026-08-11,20.76,21.1,-1.63,-3.7,67,2.7,5.66,14.25,-19.28,1.05,2.0,,,0.0,,מתקרב,2.491254671933807,1.0,51.9,ראן-אפ 20 יום ↓ · תנודתיות (ATR) ↓
LEGH,upper_breakout,2026-08-07,29.2,29.11,0.31,-0.3,240,2.17,3.95,10.82,-6.83,3.86,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.9,מחזור דולרי ↓ · ראן-אפ 20 יום ↓
ALNT,upper_breakout,2026-08-06,111.21,95.94,15.91,-53.0,26,2.53,5.58,23.91,-2.0,30.45,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,51.6,ראן-אפ 20 יום ↓ · בגרות הקו ↑
LNZA,upper_breakout,2026-08-11,6.22,6.37,-2.4,-99.8,81,0.79,5.98,8.17,-99.72,0.42,1.0,,,0.0,,מתקרב,2.491254671933807,1.0,51.2,שיפוע הקו ↓ · תנודתיות (ATR) ↓
SVV,upper_breakout,2026-08-07,12.22,10.99,11.16,-26.2,193,2.9,4.89,25.08,-54.54,12.42,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,50.9,ראן-אפ 20 יום ↓ · בגרות הקו ↓
QNST,upper_breakout,2026-08-10,22.02,21.28,3.48,-11.4,377,1.93,4.87,25.04,-16.18,20.79,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,50.6,ראן-אפ 20 יום ↓ · מחזור דולרי ↑
CTGO,upper_breakout,2026-08-11,19.93,19.51,2.17,-65.0,112,0.74,4.39,16.48,-42.03,7.66,2.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,50.5,ראן-אפ 20 יום ↓ · בגרות הקו ↓
SGHT,upper_breakout,2026-08-10,7.7,7.47,3.13,-29.4,154,1.24,6.53,44.19,-81.91,1.85,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,49.9,ראן-אפ 20 יום ↓ · בגרות הקו ↓
IBEX,upper_breakout,2026-08-07,37.25,37.21,0.12,-14.9,134,1.42,3.69,12.57,-13.35,3.47,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,49.6,מחזור דולרי ↓ · ראן-אפ 20 יום ↓
RCEL,upper_breakout,2026-08-07,7.77,6.17,25.86,-41.0,396,12.42,6.7,91.38,-94.94,4.53,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,48.9,מחזור דולרי ↓ · ראן-אפ 20 יום ↓
ZURA,upper_breakout,2026-08-07,5.96,5.93,0.63,-42.3,104,1.51,5.5,16.73,-84.11,3.79,1.0,,,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,48.9,מחזור דולרי ↓ · ראן-אפ 20 יום ↓
NN,upper_breakout,2026-08-11,17.83,16.59,7.44,-88.0,40,3.34,7.35,16.54,-26.99,59.21,1.0,,,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,48.9,ראן-אפ 20 יום ↓ · שיפוע הקו ↓
DOCN,upper_breakout,2026-08-10,129.73,125.25,3.58,-94.1,12,0.58,9.0,5.2,-30.81,479.58,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,48.3,בגרות הקו ↑ · שיפוע הקו ↓
MGNI,upper_breakout,2026-08-06,24.32,22.23,9.4,-17.7,234,4.08,4.52,14.61,-62.23,59.88,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,48.1,ראן-אפ 20 יום ↓ · מגמת השוק (SPY 20י) ↓
HURN,upper_breakout,2026-08-11,152.75,155.0,-1.45,0.0,303,0.41,6.62,39.2,-18.22,59.54,3.0,,,0.0,,מתקרב,2.491254671933807,1.0,47.7,ראן-אפ 20 יום ↓ · תנודתיות (ATR) ↓
ANF,upper_breakout,2026-08-10,118.53,115.68,2.46,-21.6,145,1.38,4.19,29.41,-39.83,115.72,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,47.6,ראן-אפ 20 יום ↓ · בגרות הקו ↓
CVNA,upper_breakout,2026-08-10,74.16,72.58,2.18,-42.0,134,1.11,5.48,14.11,-23.84,796.02,1.0,,,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,47.4,ראן-אפ 20 יום ↓ · בגרות הקו ↓
KTOS,upper_breakout,2026-08-11,63.73,64.44,-1.1,-11.5,248,0.75,6.34,26.55,-96.1,257.74,5.0,,,0.0,,מתקרב,2.491254671933807,1.0,47.3,ראן-אפ 20 יום ↓ · מספר ניסיון פריצה ↑
SITM,upper_breakout,2026-08-06,687.5,663.4,3.63,-72.5,26,2.92,7.39,6.07,-23.76,329.11,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,47.2,בגרות הקו ↑ · שיפוע הקו ↓
FA,upper_breakout,2026-08-06,24.12,22.76,5.98,-1.7,14,2.4,5.19,24.33,-2.47,47.45,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,46.0,ראן-אפ 20 יום ↓ · בגרות הקו ↑
CENT,upper_breakout,2026-08-06,46.54,46.26,0.61,-1.2,557,3.16,3.31,8.18,-5.52,4.27,1.0,,,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,45.8,מחזור דולרי ↓ · מגמת השוק (SPY 20י) ↓
