index,time,open,high,low,close,Volume,volume,rsi,ema20,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
34,2024-11-11,33.85,34.47,32.12,32.28,,1007075.0,57.5953,30.154,34.47,34,0,6.78,False
35,2024-11-12,32.0,32.59,30.53,31.24,,1252670.0,53.2524,30.2574,34.47,35,1,10.34,False
36,2024-11-13,31.36,31.49,29.4,29.63,,1693809.0,47.3055,30.1976,34.47,36,2,16.33,False
37,2024-11-14,29.29,29.58,26.02,26.41,,2505675.0,38.1335,29.8369,34.47,37,3,30.52,False
38,2024-11-15,26.19,26.35,24.88,25.2,,2632124.0,35.3591,29.3953,34.47,38,4,36.79,False
39,2024-11-18,24.79,25.06,22.24,22.77,,3096661.0,30.5517,28.7643,34.47,39,5,51.38,False
40,2024-11-19,22.22,22.94,21.24,21.94,,4280056.0,29.0966,28.1144,34.46,40,6,57.06,False
41,2024-11-20,21.96,22.99,21.5,22.41,,2440595.0,31.0979,27.5711,34.46,41,7,53.77,False
42,2024-11-21,23.44,25.29,23.35,24.76,,2891963.0,40.1882,27.3034,34.46,42,8,39.18,False
43,2024-11-22,24.9,25.44,24.4,24.43,,1467043.0,39.402,27.0297,34.46,43,9,41.06,False
44,2024-11-25,24.76,25.45,24.47,24.81,,1451103.0,40.8372,26.8183,34.46,44,10,38.9,False
45,2024-11-26,24.59,25.95,24.36,24.61,,1098076.0,40.2963,26.608,34.46,45,11,40.02,False
46,2024-11-27,24.61,24.8,23.48,23.9,,1020440.0,38.354,26.3501,34.46,46,12,44.18,False
47,2024-11-29,24.25,24.66,24.01,24.35,,642615.0,40.3175,26.1596,34.46,47,13,41.52,False
48,2024-12-02,24.37,25.05,23.76,23.86,,1309802.0,38.8659,25.9406,34.46,48,14,44.43,False
49,2024-12-03,23.63,24.53,23.62,24.27,,1420019.0,40.787,25.7815,34.46,49,15,41.99,False
50,2024-12-04,24.27,24.64,23.69,23.91,,1173355.0,39.61,25.6033,34.46,50,16,44.12,False
51,2024-12-05,23.91,24.04,22.71,23.0,,1340779.0,36.725,25.3553,34.46,51,17,49.83,False
52,2024-12-06,23.21,23.95,23.0,23.17,,1015913.0,37.6388,25.1472,34.45,52,18,48.68,False
53,2024-12-09,23.65,24.24,23.0,23.75,,2612375.0,40.781,25.0141,34.45,53,19,45.05,False
54,2024-12-10,23.8,25.07,23.74,24.02,,2895045.0,42.2401,24.9195,34.45,54,20,43.42,False
55,2024-12-11,24.44,24.99,23.46,23.85,,2266763.0,41.546,24.8176,34.45,55,21,44.44,False
56,2024-12-12,23.59,24.34,23.05,23.61,,1724905.0,40.5334,24.7026,34.45,56,22,45.91,False
57,2024-12-13,23.64,23.75,22.65,23.05,,1598968.0,38.1941,24.5452,34.45,57,23,49.46,False
58,2024-12-16,23.08,24.23,22.84,23.78,,3791307.0,42.8262,24.4723,34.45,58,24,44.87,False
59,2024-12-17,24.2,24.89,20.58,21.51,,5609491.0,34.2342,24.1902,34.45,59,25,60.16,False
60,2024-12-18,21.59,21.99,20.09,20.33,,4606286.0,30.7775,23.8226,34.45,60,26,69.45,False
61,2024-12-19,20.33,20.57,18.89,18.93,,4027348.0,27.2606,23.3566,34.45,61,27,81.99,False
62,2024-12-20,18.73,19.83,18.38,19.17,,37788846.0,28.7634,22.9579,34.45,62,28,79.71,False
63,2024-12-23,19.2,20.08,18.83,19.97,,2858020.0,33.6818,22.6733,34.44,63,29,72.46,False
64,2024-12-24,19.91,20.2,19.47,19.81,,1162694.0,33.1883,22.4006,34.44,64,30,73.85,False
65,2024-12-26,19.74,20.72,19.51,20.59,,2404440.0,37.9609,22.2282,34.44,65,31,67.27,False
66,2024-12-27,20.51,20.79,19.78,20.48,,2451249.0,37.5535,22.0617,34.44,66,32,68.16,False
67,2024-12-30,20.24,22.49,19.59,22.3,,4790524.0,47.5782,22.0844,34.44,67,33,54.44,False
