index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
158,2024-11-08,76.6,77.17,72.02,72.43,,2159241.0,53.4249,72.3442,70.0776,62.7508,77.17,158,0,6.54,False
159,2024-11-11,72.22,73.2,71.04,71.53,,1065946.0,49.345,72.2666,70.226,62.9281,77.06,159,1,7.73,False
160,2024-11-12,71.42,72.25,69.62,70.7,,1290453.0,45.8663,72.1174,70.3634,63.1116,76.96,160,2,8.85,False
161,2024-11-13,70.23,71.06,69.68,70.04,,917355.0,43.255,71.9196,70.462,63.299,76.85,161,3,9.72,False
162,2024-11-14,69.38,70.31,67.85,67.9,,1063194.0,36.0818,71.5367,70.508,63.4655,76.74,162,4,13.02,False
163,2024-11-15,67.74,68.33,67.0,67.48,,1146295.0,34.86,71.1504,70.5336,63.6328,76.64,163,5,13.57,False
164,2024-11-18,67.19,67.43,65.95,67.12,,939229.0,33.8033,70.7665,70.5354,63.7907,76.53,164,6,14.02,False
165,2024-11-19,66.65,67.48,66.51,67.05,,711432.0,33.5901,70.4126,70.5094,63.9324,76.43,165,7,13.99,False
166,2024-11-20,66.84,68.68,66.65,68.39,,953328.0,41.2315,70.22,70.489,64.1018,76.32,166,8,11.6,False
167,2024-11-21,68.19,69.93,68.19,69.63,,799914.0,47.2771,70.1638,70.5086,64.2821,76.21,167,9,9.45,False
168,2024-11-22,69.79,70.94,69.61,70.81,,700145.0,52.3053,70.2253,70.5248,64.4817,76.11,168,10,7.48,False
169,2024-11-25,70.63,72.1,70.48,71.61,,1622950.0,55.4101,70.3572,70.5212,64.6988,76.0,169,11,6.13,False
170,2024-11-26,71.61,71.99,70.57,71.49,,676288.0,54.8335,70.4651,70.5044,64.9173,75.9,170,12,6.17,False
171,2024-11-27,71.82,72.81,71.35,72.48,,702927.0,58.6561,70.657,70.5114,65.1619,75.79,171,13,4.57,False
172,2024-11-29,72.64,72.79,71.06,71.51,,576974.0,53.8474,70.7382,70.4948,65.3952,75.69,172,14,5.85,False
173,2024-12-02,71.5,72.38,71.11,71.99,,984401.0,55.7793,70.8574,70.5356,65.6215,75.58,173,15,4.99,False
174,2024-12-03,71.78,71.93,69.88,70.77,,1254601.0,50.0453,70.8491,70.5486,65.8392,75.48,174,16,6.66,False
175,2024-12-04,69.98,71.18,68.9,70.26,,885034.0,47.8317,70.793,70.553,66.0596,75.37,175,17,7.27,False
176,2024-12-05,69.87,70.73,69.25,69.57,,845243.0,44.9358,70.6765,70.56,66.2549,75.27,176,18,8.19,False
177,2024-12-06,69.51,71.04,69.46,69.96,,1049489.0,46.8929,70.6083,70.5972,66.4245,75.17,177,19,7.45,False
178,2024-12-09,69.92,71.39,69.76,70.63,,662237.0,50.1697,70.6104,70.6584,66.581,75.06,178,20,6.27,False
179,2024-12-10,70.98,70.98,68.76,69.72,,767212.0,46.0167,70.5256,70.6584,66.7322,74.96,179,21,7.52,False
180,2024-12-11,70.0,70.89,69.4,70.49,,588734.0,49.8031,70.5222,70.7222,66.8958,74.85,180,22,6.19,False
181,2024-12-12,70.35,70.73,69.69,70.01,,620149.0,47.5635,70.4734,70.7698,67.0295,74.75,181,23,6.77,False
182,2024-12-13,70.0,70.0,68.8,69.56,,637853.0,45.4978,70.3864,70.8158,67.1442,74.65,182,24,7.32,False
183,2024-12-16,69.26,70.34,68.95,69.27,,755847.0,44.1665,70.2801,70.8464,67.2614,74.54,183,25,7.61,False
184,2024-12-17,69.08,70.0,68.0,68.6,,756890.0,41.1694,70.1201,70.8926,67.3711,74.44,184,26,8.51,False
185,2024-12-18,68.45,68.9,66.58,66.89,,595908.0,34.6977,69.8124,70.8878,67.4666,74.34,185,27,11.14,False
186,2024-12-19,67.09,67.76,66.21,66.8,,1141863.0,34.3913,69.5255,70.8402,67.5451,74.23,186,28,11.12,False
187,2024-12-20,66.58,67.5,66.28,66.83,,1798749.0,34.5986,69.2688,70.8148,67.6246,74.13,187,29,10.92,False
188,2024-12-23,66.61,67.08,66.01,66.63,,823212.0,33.8311,69.0175,70.7846,67.7103,74.03,188,30,11.11,False
189,2024-12-24,66.29,66.7,65.85,66.56,,252375.0,33.5505,68.7835,70.728,67.8028,73.93,189,31,11.07,False
190,2024-12-26,66.22,67.19,65.86,66.94,,505004.0,36.6231,68.6079,70.6724,67.9108,73.82,190,32,10.28,False
191,2024-12-27,66.5,67.09,66.16,66.74,,460337.0,35.6877,68.43,70.5788,68.0037,73.72,191,33,10.46,False
192,2024-12-30,66.17,66.65,65.55,66.05,,686423.0,32.5949,68.2033,70.4516,68.1052,73.62,192,34,11.46,False
