index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
175,2024-12-05,345.77,354.43,344.69,347.88,,2099463.0,62.4664,331.2363,300.9914,246.4484,354.43,9,0,1.88,False
176,2024-12-06,347.25,349.07,340.75,346.26,,1622761.0,61.3961,332.6669,302.8958,248.2539,354.16,10,1,2.28,False
177,2024-12-09,340.1,344.75,324.26,335.01,,3045948.0,54.4174,332.8896,304.6024,249.9902,353.9,11,2,5.64,False
178,2024-12-10,333.97,336.34,322.1,327.15,,3473498.0,50.1335,332.3431,306.0495,251.6295,353.63,12,3,8.09,False
179,2024-12-11,333.32,350.32,333.09,343.55,,6671723.0,57.6325,333.4104,307.7936,253.3986,353.37,13,4,2.86,False
180,2024-12-12,342.75,342.75,327.95,329.67,,3281840.0,50.6847,333.0541,309.3449,254.9917,353.1,14,5,7.11,False
181,2024-12-13,334.54,337.75,329.21,331.77,,2972926.0,51.634,332.9316,310.8904,256.6815,352.84,15,6,6.35,False
182,2024-12-16,335.81,340.25,330.6,337.46,,4229793.0,54.2106,333.3633,312.3317,258.4573,352.57,16,7,4.48,False
183,2024-12-17,332.76,333.76,323.26,328.1,,4408883.0,49.5387,332.8621,313.6468,260.0085,352.31,17,8,7.38,False
184,2024-12-18,327.35,331.82,313.96,316.89,,3906912.0,44.5838,331.3408,314.703,261.4581,352.05,18,9,11.1,False
185,2024-12-19,324.71,337.21,322.27,332.56,,4587897.0,51.8342,331.4567,316.026,263.1579,351.78,19,10,5.78,False
186,2024-12-20,328.13,345.64,327.15,342.66,,5476077.0,55.8456,332.5236,317.5907,264.8034,351.52,20,11,2.59,False
187,2024-12-23,344.25,346.28,337.0,344.92,,1436153.0,56.714,333.7042,319.1552,266.5136,351.26,21,12,1.84,False
188,2024-12-24,347.22,348.99,343.32,347.29,,1062360.0,57.6546,334.9981,320.7149,268.3404,350.99,22,13,1.07,False
189,2024-12-26,345.8,345.8,338.9,343.07,,1211476.0,55.3483,335.7669,322.253,270.1499,350.73,23,14,2.23,False
190,2024-12-27,339.95,340.75,332.5,333.8,,1506587.0,50.5634,335.5796,323.4376,271.8456,350.47,24,15,4.99,False
191,2024-12-30,324.34,335.64,323.0,330.26,,1837750.0,48.8275,335.0729,324.6068,273.4887,350.2,25,16,6.04,False
