date,action,strategy,ticker,price,Profit/Loss %,SL,TP
2025-03-20,buy,under,MTCH,31.21,0,31.0,34.331
2025-03-21,buy,under,GEHC,81.49,0,80.15,89.639
2025-03-21,buy,under,NKE,67.94,0,65.17,74.73400000000001
