"ticker","date","breakthrough","duration_from_date1","duration_from_date2","sequence","update_trendline","trendline","distance"
"DOCN","2025-10-02",True,969,157,1,False,"38.43","-0.7233273056057895"
"DFLI","2025-10-02",True,697,184,1,False,"0.86","-19.62616822429907"
"MVST","2025-10-02",True,1173,74,1,False,"4.22","-5.592841163310962"
"CLSK","2025-10-02",True,1768,380,1,False,"15.09","-0.330250990752977"
"FBK","2025-10-02",True,220,212,1,False,"56.27","-0.9505368773103311"
"ANGO","2025-10-02",True,979,169,1,False,"11.28","-3.918228279386719"
"OLMA","2025-10-02",True,1213,293,1,False,"11.03","-0.9874326750448942"
"SKYT","2025-10-02",True,1022,983,1,False,"19.23","-3.849999999999998"
"VUZI","2025-10-02",True,1126,191,1,False,"3.71","-2.110817941952509"
"PTCT","2025-10-03",True,2638,1189,1,False,"64.93","-0.6730916322472047"
"IMKTA","2025-10-03",True,703,439,1,False,"70.77","-2.143252212389377"
"UVE","2025-10-03",True,1764,85,1,False,"28.09","-0.986958054282697"
"ACHR","2025-10-06",True,1163,97,1,False,"13.56","-0.5865102639296192"
"BKSY","2025-10-06",True,1162,56,1,False,"26.63","-6.822953114065779"
"SD","2025-10-06",True,834,75,1,False,"12.0","-2.280130293159604"
"NWE","2025-10-07",True,1416,111,1,False,"58.83","-0.10188487009679449"
"VRNS","2025-10-08",True,1169,1026,1,False,"61.34","-3.1116727215289823"
"BTBT","2025-10-08",True,1196,225,1,False,"3.83","-5.198019801980197"
"BKH","2025-10-08",True,786,216,1,False,"61.76","-0.0323729362253207"
"HYLN","2025-10-08",True,1280,216,1,False,"2.38","-5.179282868525893"
"KODK","2025-10-08",True,1305,60,1,False,"6.78","-0.29411764705881727"
"ATXS","2025-10-08",True,2581,386,1,False,"8.22","-2.1428571428571392"
"CNR","2025-10-08",True,216,214,1,False,"94.13","-3.663903387575477"
"RIOT","2025-10-08",True,4514,1166,1,False,"21.85","-0.636653024101851"
"GLUE","2025-10-09",True,1027,237,1,False,"8.39","-0.8274231678487031"
"BEAM","2025-10-09",True,1072,162,1,False,"27.63","-0.8611410118406959"
"GWH","2025-10-10",True,1003,228,1,False,"3.35","-19.471153846153847"
"SWKH","2025-10-10",True,117,68,1,False,"15.26","-8.403361344537817"
"MGEE","2025-10-10",True,226,75,1,False,"84.38","-0.24825629507034866"
