ticker,rule,entry_date,entry,status,reason,ret_pct,days,exit_date,stop_today,pnl
GRNT,N2,2024-01-09,5.5,CLOSED,SL,-3.52,2,2024-01-11,,-176.0
AESI,N2,2024-01-17,16.58,CLOSED,TIME,43.73,90,2024-05-24,,2186.5
PRA,N2,2024-01-18,12.34,CLOSED,SL,-3.8,38,2024-03-13,,-190.0
LAND,N1,2024-01-19,13.63,CLOSED,SL,-3.61,17,2024-02-13,,-180.5
EVEX,N2,2024-02-01,5.88,CLOSED,SL,-5.55,19,2024-02-29,,-277.5
CHCT,N1,2024-02-05,24.98,CLOSED,SL,-2.54,62,2024-05-03,,-127.0
GRNT,N2,2024-02-05,5.33,CLOSED,TIME,14.82,90,2024-06-13,,741.0
MNTK,N3,2024-02-05,6.36,CLOSED,SL,-5.63,13,2024-02-23,,-281.5
DFIN,N1,2024-02-06,61.97,CLOSED,SL,-0.49,8,2024-02-16,,-24.5
KRNY,N1,2024-02-06,6.68,CLOSED,SL,-5.11,1,2024-02-07,,-255.5
FNLC,N1,2024-02-07,23.35,CLOSED,SL,-5.37,43,2024-04-10,,-268.5
PLCE,N1,2024-02-09,12.5,CLOSED,SL,-36.42,42,2024-04-11,,-1821.0
PHAT,N3,2024-02-13,6.21,CLOSED,TIME,74.4,90,2024-06-24,,3720.0
MDRX,N1,2024-03-01,6.13,CLOSED,TIME,60.69,90,2024-07-11,,3034.5
AXL,N1,2024-03-11,6.67,CLOSED,SL,1.32,80,2024-07-05,,66.0
DGICA,N1,2024-03-12,13.49,CLOSED,SL,-2.45,1,2024-03-13,,-122.5
SBSI,N2,2024-03-14,27.41,CLOSED,SL,-2.57,32,2024-04-30,,-128.5
NWFL,N3,2024-04-02,24.42,CLOSED,TIME,5.94,90,2024-08-09,,297.0
PSTL,N2,2024-04-16,13.64,CLOSED,SL,-1.55,26,2024-05-22,,-77.5
RMR,N2,2024-04-19,22.57,CLOSED,SL,-2.32,39,2024-06-14,,-116.0
INMD,N1,2024-04-25,17.02,CLOSED,SL,-0.28,52,2024-07-11,,-14.0
PD,N2,2024-04-26,20.83,CLOSED,SL,-5.95,8,2024-05-08,,-297.5
ARL,N1,2024-05-01,13.78,CLOSED,SL,-5.38,32,2024-06-17,,-269.0
CHCT,N1,2024-05-01,25.08,CLOSED,SL,-2.8,2,2024-05-03,,-140.0
NTGR,N3,2024-05-02,11.78,CLOSED,TIME,35.23,90,2024-09-11,,1761.5
MNRO,N2,2024-05-06,26.15,CLOSED,SL,-3.94,13,2024-05-23,,-197.0
UVV,N1,2024-05-23,46.52,CLOSED,TIME,12.34,90,2024-10-02,,617.0
IIIV,N2,2024-05-23,18.93,CLOSED,TIME,11.73,90,2024-10-02,,586.5
EYE,N3,2024-05-28,14.1,CLOSED,SL,-6.35,14,2024-06-17,,-317.5
VLY,N2,2024-05-29,6.91,CLOSED,SL,-4.15,7,2024-06-07,,-207.5
LAW,N2,2024-05-31,5.85,CLOSED,SL,-4.91,2,2024-06-04,,-245.5
AMN,N1,2024-06-06,53.96,CLOSED,SL,-4.95,15,2024-06-28,,-247.5
RGP,N1,2024-06-10,10.55,CLOSED,SL,-9.75,61,2024-09-06,,-487.5
YEXT,N3,2024-06-11,5.03,CLOSED,TIME,41.75,90,2024-10-18,,2087.5
VLY,N2,2024-06-14,6.52,CLOSED,TIME,39.88,90,2024-10-23,,1994.0
