ticker,rule,entry_date,entry,status,reason,ret_pct,days,exit_date,stop_today,pnl
RIGL,N2,2024-06-25,8.43,CLOSED,TIME,68.45,90,2024-11-01,,3422.5
RMR,N2,2024-06-26,22.71,CLOSED,TIME,3.87,90,2024-11-01,,193.5
RDUS,N1,2024-07-02,14.67,CLOSED,TIME,35.11,90,2024-11-07,,1755.5
RCUS,N1,2024-07-02,14.65,CLOSED,SL,-6.3,2,2024-07-05,,-315.0
XNCR,N2,2024-07-05,18.23,CLOSED,SL,-4.23,22,2024-08-06,,-211.5
UONE,N1,2024-07-05,17.4,CLOSED,SL,-8.01,64,2024-10-04,,-400.5
SSTK,N1,2024-07-08,35.08,CLOSED,SL,-4.46,33,2024-08-22,,-223.0
MBUU,N1,2024-07-10,31.06,CLOSED,TIME,33.61,90,2024-11-14,,1680.5
FWRG,N2,2024-07-19,15.6,CLOSED,SL,-5.23,3,2024-07-24,,-261.5
TITN,N1,2024-08-05,15.47,CLOSED,SL,-5.42,8,2024-08-15,,-271.0
MXL,N1,2024-08-05,11.6,CLOSED,TIME,60.43,90,2024-12-11,,3021.5
SONO,N2,2024-08-08,11.78,CLOSED,TIME,24.45,90,2024-12-16,,1222.5
AXL,N1,2024-08-13,6.17,CLOSED,SL,-5.11,18,2024-09-09,,-255.5
KIDS,N3,2024-08-14,25.33,CLOSED,SL,-6.79,65,2024-11-14,,-339.5
IRTC,N1,2024-09-05,65.21,CLOSED,SL,-9.62,24,2024-10-09,,-481.0
WNC,N1,2024-09-06,18.65,CLOSED,SL,-4.94,31,2024-10-21,,-247.0
CLW,N1,2024-09-10,29.08,CLOSED,SL,-4.73,2,2024-09-12,,-236.5
VIR,N3,2024-09-11,7.83,CLOSED,SL,-5.58,10,2024-09-25,,-279.0
AVDX,N2,2024-09-11,7.66,CLOSED,TIME,35.38,90,2025-01-22,,1769.0
PARR,N1,2024-09-12,18.35,CLOSED,SL,-4.5,9,2024-09-25,,-225.0
OXM,N1,2024-09-12,84.09,CLOSED,SL,-11.63,18,2024-10-08,,-581.5
ARWR,N1,2024-09-17,20.01,CLOSED,SL,-4.5,10,2024-10-01,,-225.0
HLF,N2,2024-09-20,7.22,CLOSED,SL,-8.38,63,2024-12-19,,-419.0
TALO,N1,2024-10-01,10.43,CLOSED,SL,-7.12,11,2024-10-16,,-356.0
AHH,N2,2024-10-03,10.76,CLOSED,SL,-1.47,53,2024-12-18,,-73.5
IIIN,N1,2024-10-09,29.46,CLOSED,SL,-2.88,6,2024-10-17,,-144.0
HPP,N2,2024-10-09,31.36,CLOSED,SL,-6.29,17,2024-11-01,,-314.5
KE,N1,2024-10-10,17.14,CLOSED,SL,-1.32,80,2025-02-06,,-66.0
TNET,N1,2024-10-25,80.31,CLOSED,SL,1.08,74,2025-02-13,,54.0
RLAY,N3,2024-10-28,6.03,CLOSED,SL,-7.73,14,2024-11-15,,-386.5
AVNS,N3,2024-10-31,18.68,CLOSED,SL,-6.82,32,2024-12-17,,-341.0
LAND,N2,2024-11-08,12.91,CLOSED,SL,-2.31,1,2024-11-11,,-115.5
JAMF,N3,2024-11-14,15.31,CLOSED,SL,-7.19,4,2024-11-20,,-359.5
SCHL,N1,2024-11-19,24.27,CLOSED,SL,-3.55,22,2024-12-20,,-177.5
WLLBW,N1,2024-11-20,5.3,CLOSED,SL,-49.99,11,2024-12-06,,-2499.5
ANAB,N2,2024-12-11,10.34,CLOSED,SL,-20.83,40,2025-02-11,,-1041.5
PSTL,N2,2024-12-17,13.46,CLOSED,SL,-2.25,1,2024-12-18,,-112.5
GMRE,N2,2024-12-20,39.3,CLOSED,SL,-4.62,5,2024-12-30,,-231.0
TRNO,N2,2024-12-20,58.99,CLOSED,SL,-0.86,69,2025-04-03,,-43.0
AFCG,N2,2024-12-31,8.33,CLOSED,SL,-2.97,14,2025-01-23,,-148.5
MTW,N1,2025-01-08,8.63,CLOSED,SL,-4.91,58,2025-04-03,,-245.5
FDBC,N3,2025-01-10,42.81,CLOSED,SL,-2.43,42,2025-03-13,,-121.5
BNL,N2,2025-01-13,15.31,CLOSED,SL,-1.41,59,2025-04-08,,-70.5
KE,N1,2025-02-04,17.87,CLOSED,SL,-5.38,3,2025-02-07,,-269.0
CTS,N1,2025-02-04,47.07,CLOSED,SL,-7.91,18,2025-03-03,,-395.5
GPRE,N1,2025-02-07,6.6,CLOSED,SL,-9.51,4,2025-02-13,,-475.5
XNCR,N3,2025-02-12,16.22,CLOSED,SL,-5.83,7,2025-02-24,,-291.5
HCSG,N2,2025-02-12,10.71,CLOSED,SL,-8.04,36,2025-04-04,,-402.0
ODP,N1,2025-02-21,18.11,CLOSED,SL,-5.09,3,2025-02-26,,-254.5
CENT,N1,2025-02-25,35.16,CLOSED,SL,-3.52,18,2025-03-21,,-176.0
MYGN,N1,2025-02-25,11.74,CLOSED,SL,-9.44,3,2025-02-28,,-472.0
DMRC,N1,2025-02-28,16.35,CLOSED,SL,-27.74,25,2025-04-04,,-1387.0
KELYA,N1,2025-03-04,12.94,CLOSED,SL,-5.86,23,2025-04-04,,-293.0
LASR,N3,2025-03-04,8.32,CLOSED,SL,-9.43,22,2025-04-03,,-471.5
MATV,N1,2025-03-04,6.14,CLOSED,SL,-15.66,6,2025-03-12,,-783.0
CGEM,N3,2025-03-04,8.13,CLOSED,SL,-8.28,19,2025-03-31,,-414.0
PLUS,N1,2025-03-04,62.95,CLOSED,SL,-2.8,19,2025-03-31,,-140.0
AESI,N2,2025-03-05,17.53,CLOSED,SL,-6.68,21,2025-04-03,,-334.0
FL,N2,2025-03-06,17.84,CLOSED,SL,-8.96,3,2025-03-11,,-448.0
JMSB,N2,2025-03-07,17.46,CLOSED,SL,-7.23,19,2025-04-03,,-361.5
MXL,N1,2025-03-07,12.63,CLOSED,SL,-12.17,15,2025-03-28,,-608.5
ARCT,N1,2025-03-11,13.21,CLOSED,SL,-11.54,8,2025-03-21,,-577.0
SONO,N2,2025-03-12,11.69,CLOSED,SL,-6.38,12,2025-03-28,,-319.0
MATV,N1,2025-03-12,5.87,CLOSED,SL,-12.68,17,2025-04-04,,-634.0
NWFL,N2,2025-03-20,24.77,CLOSED,SL,-2.23,6,2025-03-28,,-111.5
AAT,N2,2025-03-21,20.25,CLOSED,SL,-3.08,9,2025-04-03,,-154.0
SHO,N1,2025-03-21,9.73,CLOSED,SL,-4.53,9,2025-04-03,,-226.5
APPN,N3,2025-03-31,28.81,CLOSED,SL,-6.8,4,2025-04-04,,-340.0
GSBC,N2,2025-04-01,55.86,CLOSED,SL,-3.16,2,2025-04-03,,-158.0
GWRS,N2,2025-04-02,10.21,CLOSED,SL,-3.68,2,2025-04-04,,-184.0
JILL,N1,2025-04-03,17.04,CLOSED,SL,-9.06,3,2025-04-08,,-453.0
INTT,N1,2025-04-03,6.25,CLOSED,SL,-5.34,2,2025-04-07,,-267.0
SBH,N2,2025-04-03,8.32,CLOSED,SL,-6.16,3,2025-04-08,,-308.0
SNCY,N2,2025-04-04,10.22,CLOSED,SL,-9.53,9,2025-04-17,,-476.5
PEBO,N1,2025-04-04,27.28,CLOSED,TIME,9.79,90,2025-08-14,,489.5
ASTE,N2,2025-04-04,31.57,CLOSED,TIME,44.85,90,2025-08-14,,2242.5
DK,N1,2025-04-04,12.09,CLOSED,TIME,73.78,90,2025-08-14,,3689.0
FIBK,N2,2025-04-04,24.72,CLOSED,SL,-6.85,3,2025-04-09,,-342.5
FNLC,N2,2025-04-04,24.44,CLOSED,SL,-6.21,3,2025-04-09,,-310.5
LKFN,N2,2025-04-04,53.79,CLOSED,SL,-4.16,1,2025-04-07,,-208.0
IAS,N3,2025-04-04,7.04,CLOSED,SL,-4.75,1,2025-04-07,,-237.5
KN,N2,2025-04-04,12.76,CLOSED,SL,-4.29,1,2025-04-07,,-214.5
NGVT,N1,2025-04-07,31.73,CLOSED,TIME,71.98,90,2025-08-15,,3599.0
MGY,N1,2025-04-07,20.56,CLOSED,SL,-5.04,1,2025-04-08,,-252.0
NNI,N1,2025-04-07,101.27,CLOSED,TIME,25.29,90,2025-08-15,,1264.5
CNNE,N3,2025-04-07,16.49,CLOSED,TIME,8.0,90,2025-08-15,,400.0
WTBA,N2,2025-04-07,18.88,CLOSED,TIME,-2.12,90,2025-08-15,,-106.0
CODI,N1,2025-04-07,16.48,CLOSED,SL,-5.75,22,2025-05-08,,-287.5
GENC,N2,2025-04-07,11.53,CLOSED,TIME,32.18,90,2025-08-15,,1609.0
SAFE,N3,2025-04-08,15.08,CLOSED,SL,-5.93,3,2025-04-11,,-296.5
DX,N2,2025-04-09,11.92,CLOSED,TIME,4.78,90,2025-08-19,,239.0
TWO,N3,2025-04-09,11.4,CLOSED,SL,-14.78,78,2025-08-01,,-739.0
SBH,N2,2025-04-09,8.47,CLOSED,SL,-9.28,11,2025-04-25,,-464.0
NXRT,N2,2025-04-09,34.9,CLOSED,SL,-11.58,78,2025-08-01,,-579.0
FIBK,N2,2025-04-10,24.52,CLOSED,TIME,23.25,90,2025-08-20,,1162.5
FRST,N2,2025-04-10,8.0,CLOSED,TIME,34.87,90,2025-08-20,,1743.5
PLOW,N2,2025-04-11,22.51,CLOSED,TIME,44.87,90,2025-08-21,,2243.5
NWBI,N2,2025-04-11,10.9,CLOSED,TIME,10.37,90,2025-08-21,,518.5
HONE,N3,2025-04-11,9.06,CLOSED,TIME,33.44,90,2025-08-21,,1672.0
AHCO,N2,2025-04-21,7.33,CLOSED,TIME,26.06,90,2025-08-28,,1303.0
SAFE,N3,2025-04-25,15.11,CLOSED,SL,-7.36,66,2025-07-31,,-368.0
VMD,N1,2025-05-09,6.32,CLOSED,SL,-3.88,56,2025-07-31,,-194.0
SAFT,N2,2025-07-02,76.32,CLOSED,SL,-2.28,4,2025-07-09,,-114.0
ONTO,N1,2025-07-31,94.75,CLOSED,SL,-3.96,4,2025-08-06,,-198.0
PSFE,N2,2025-08-08,11.36,CLOSED,SL,-5.07,59,2025-10-31,,-253.5
WTBA,N2,2025-08-12,18.7,CLOSED,TIME,27.49,90,2025-12-18,,1374.5
SDGR,N2,2025-08-14,19.45,CLOSED,SL,-16.78,70,2025-11-21,,-839.0
CWT,N2,2025-09-15,45.19,CLOSED,SL,-1.22,12,2025-10-01,,-61.0
LPSN,N2,2025-09-16,10.2,CLOSED,SL,-32.19,17,2025-10-09,,-1609.5
FRSH,N2,2025-10-06,11.31,CLOSED,SL,-4.35,9,2025-10-17,,-217.5
CLDT,N2,2025-10-09,6.39,CLOSED,SL,-2.74,1,2025-10-10,,-137.0
NSIT,N1,2025-10-10,106.58,CLOSED,SL,-2.38,13,2025-10-29,,-119.0
TRC,N2,2025-10-13,15.61,CLOSED,SL,-1.22,56,2026-01-02,,-61.0
SFL,N1,2025-10-14,6.86,CLOSED,TIME,58.02,90,2026-02-24,,2901.0
KREF,N2,2025-10-16,8.51,CLOSED,SL,-3.53,10,2025-10-30,,-176.5
PEBO,N1,2025-10-16,27.67,CLOSED,TIME,20.06,90,2026-02-26,,1003.0
RDN,N1,2025-10-16,32.74,CLOSED,SL,2.6,60,2026-01-13,,130.0
AROC,N1,2025-10-16,23.76,CLOSED,SL,-0.63,20,2025-11-13,,-31.5
PRAA,N1,2025-10-16,13.33,CLOSED,SL,-4.93,13,2025-11-04,,-246.5
SMPL,N1,2025-10-23,20.63,CLOSED,SL,-13.89,69,2026-02-03,,-694.5
BRBR,N1,2025-10-24,33.05,CLOSED,SL,-4.79,1,2025-10-27,,-239.5
ARIS,N3,2025-10-27,9.09,CLOSED,TIME,111.55,90,2026-04-22,,5577.5
EPC,N1,2025-10-29,18.96,CLOSED,SL,-3.62,12,2025-11-14,,-181.0
BOWL,N2,2025-10-30,7.98,CLOSED,SL,-6.32,13,2025-11-18,,-316.0
MBUU,N2,2025-10-31,27.87,CLOSED,SL,-7.12,6,2025-11-10,,-356.0
NREF,N2,2025-11-05,13.36,CLOSED,SL,-0.56,87,2026-03-13,,-28.0
CLDT,N2,2025-11-05,6.47,CLOSED,TIME,19.47,90,2026-03-18,,973.5
ADV,N3,2025-11-06,30.0,CLOSED,SL,-11.27,8,2025-11-18,,-563.5
ABR,N1,2025-11-07,9.23,CLOSED,SL,-5.74,6,2025-11-17,,-287.0
MBUU,N3,2025-11-10,25.77,CLOSED,SL,-6.55,5,2025-11-17,,-327.5
BLMN,N2,2025-11-10,6.4,CLOSED,SL,-7.79,8,2025-11-20,,-389.5
GAMB,N1,2025-11-12,6.83,CLOSED,SL,-4.37,1,2025-11-13,,-218.5
DEI,N2,2025-11-13,11.76,CLOSED,SL,-2.85,23,2025-12-17,,-142.5
ENR,N1,2025-11-18,19.44,CLOSED,SL,-8.9,2,2025-11-20,,-445.0
MSBI,N2,2025-11-18,15.18,CLOSED,TIME,46.97,90,2026-03-31,,2348.5
ASUR,N1,2025-11-18,7.74,CLOSED,SL,-1.87,58,2026-02-12,,-93.5
UTZ,N1,2025-11-19,9.57,CLOSED,SL,-4.87,57,2026-02-12,,-243.5
ULH,N1,2025-11-21,14.27,CLOSED,TIME,45.76,90,2026-04-06,,2288.0
TRNS,N1,2025-12-09,52.06,CLOSED,TIME,56.78,90,2026-04-21,,2839.0
BLBD,N1,2025-12-31,47.0,CLOSED,TIME,47.51,90,2026-05-12,,2375.5
LKFN,N2,2026-01-07,55.88,CLOSED,SL,-0.73,40,2026-03-06,,-36.5
PAYO,N2,2026-01-09,5.44,CLOSED,SL,-3.52,24,2026-02-13,,-176.0
ATRA,N2,2026-01-12,5.88,CLOSED,TIME,58.84,90,2026-05-21,,2942.0
DOMO,N2,2026-01-13,7.29,CLOSED,SL,-5.06,1,2026-01-14,,-253.0
AVO,N2,2026-01-15,12.29,CLOSED,TIME,-6.92,90,2026-05-27,,-346.0
IIIV,N2,2026-01-29,21.8,CLOSED,SL,-5.58,4,2026-02-04,,-279.0
EAF,N2,2026-02-17,6.32,CLOSED,TIME,13.92,90,2026-06-26,,696.0
HLNE,N1,2026-02-19,113.0,CLOSED,SL,-7.13,2,2026-02-23,,-356.5
ABG,N1,2026-02-23,220.48,CLOSED,SL,-4.08,5,2026-03-02,,-204.0
DUOL,N1,2026-02-27,101.0,CLOSED,SL,-10.57,27,2026-04-08,,-528.5
FMNB,N2,2026-03-02,12.97,CLOSED,SL,-5.41,5,2026-03-09,,-270.5
ESRT,N3,2026-03-03,5.73,CLOSED,SL,-6.05,4,2026-03-09,,-302.5
LKFN,N2,2026-03-06,56.88,CLOSED,SL,-3.27,1,2026-03-09,,-163.5
FDBC,N2,2026-03-19,43.95,CLOSED,TIME,20.68,90,2026-07-29,,1034.0
DX,N2,2026-03-27,12.17,CLOSED,TIME,5.26,90,2026-08-06,,263.0
PRVA,N2,2026-03-27,20.02,CLOSED,SL,-1.3,90,2026-08-06,,-65.0
GCMG,N2,2026-04-02,9.7,CLOSED,TIME,43.51,90,2026-08-12,,2175.5
OFIX,N3,2026-05-21,10.41,CLOSED,SL,-13.49,20,2026-06-22,,-674.5
UVV,N1,2026-05-28,51.16,CLOSED,SL,-3.34,1,2026-05-29,,-167.0
SAFT,N2,2026-05-29,70.17,CLOSED,SL,-2.49,1,2026-06-01,,-124.5
AVO,N2,2026-05-29,11.14,CLOSED,SL,-4.53,4,2026-06-04,,-226.5
FPI,N1,2026-06-17,9.69,CLOSED,SL,-2.04,14,2026-07-09,,-102.0
UVV,N1,2026-07-13,50.98,CLOSED,SL,-1.66,20,2026-08-10,,-83.0
STEM,N3,2026-07-17,6.26,CLOSED,SL,-10.36,5,2026-07-24,,-518.0
VERA,N1,2026-08-03,32.23,CLOSED,SL,-8.0,2,2026-08-05,,-400.0
