ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,anchor1,anchor2,touch_no,pierce_depth_pct,closed_above,q_rule,q_status,q_reason,q_ret,q_days,q_exit_date,q_stop_today,event_date_ts,status,spy_ret_20d,spy_above_ma200,confidence,expected_ret_20d,drivers,is_event
GDOT,under_touch,2026-08-11,13.41,12.79,4.86,69.0,103,2.57,2.4,0.6,-85.58,5.08,,2025-03-13,2026-03-13,2.0,1.86,1.0,,,,,,,,2026-08-11,SUPPORT_TOUCH,2.491254671933807,1.0,41.2,-0.96,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
XPER,under_touch,2026-08-10,6.81,6.81,0.04,84.2,88,1.38,5.24,-12.8,-73.81,2.88,,2026-02-12,2026-04-02,1.0,0.84,1.0,,,,,,,,2026-08-10,SUPPORT_TOUCH,3.184857909419758,1.0,41.0,-0.82,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
NXRT,under_touch,2026-08-12,24.71,24.64,0.28,8.6,99,0.82,3.19,-8.04,-74.0,6.84,,2016-02-11,2026-03-20,3.0,1.46,1.0,,,,,,,,2026-08-12,SUPPORT_TOUCH,2.342311310131029,1.0,40.9,-0.75,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
SBGI,under_touch,2026-08-11,13.67,13.57,0.74,17.7,93,0.96,5.03,-1.01,-79.47,7.79,,2009-07-14,2026-03-27,5.0,2.47,1.0,,,,,,,,2026-08-11,SUPPORT_TOUCH,2.491254671933807,1.0,40.7,-0.61,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
BLBD,under_touch,2026-08-10,65.33,65.63,-0.46,79.3,951,2.11,5.92,-14.67,-21.66,35.66,,2022-10-13,2022-10-21,5.0,3.47,0.0,,,,,,,,2026-08-10,PIERCED,3.184857909419758,1.0,40.6,-0.54,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓,True
NYMT,under_touch,2026-08-13,7.11,6.88,3.34,0.0,93,,9.92,0.0,0.0,,,2026-03-30,2026-03-31,10.0,6.91,1.0,,,,,,,,2026-08-13,SUPPORT_TOUCH,3.617860187553279,1.0,39.9,-1.3,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
SSTI,under_touch,2026-08-14,6.2,6.53,-5.07,19.2,112,7.82,8.42,-27.82,-90.63,0.69,,2025-12-02,2026-03-05,2.0,10.89,0.0,,,,,,,,2026-08-14,PIERCED,4.446447550754096,1.0,39.7,-1.52,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
ASLE,under_touch,2026-08-13,5.72,5.72,0.07,10.7,464,1.02,4.69,-5.3,-76.36,2.33,,2024-09-05,2024-10-04,4.0,1.86,1.0,N2,OPEN,,2.62,1.0,,5.45,2026-08-13,SUPPORT_TOUCH,3.617860187553279,1.0,38.9,-2.42,משטר שוק (SPY>MA200) ↓ · תנודתיות (ATR) ↑,True
MDRX,under_touch,2026-08-13,5.0,4.0,24.98,3.9,339,3.11,6.51,2.04,-94.42,0.12,,2002-08-14,2025-04-07,10.0,18.76,1.0,N3,OPEN,,-2.0,1.0,,3.68,2026-08-13,SUPPORT_TOUCH,3.617860187553279,1.0,38.3,-2.52,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓,True
LZ,under_touch,2026-08-11,5.44,5.46,-0.44,1.2,93,0.87,10.79,-27.18,-86.71,16.36,,2024-07-10,2026-03-27,3.0,0.44,0.0,,,,,,,,2026-08-11,PIERCED,2.491254671933807,1.0,37.8,-2.26,משטר שוק (SPY>MA200) ↓ · בגרות הקו ↓,True
TWO,under_touch,2026-08-14,12.04,11.84,1.73,98.2,105,0.36,0.39,-0.41,-90.88,42.5,,2026-03-09,2026-03-16,2.0,0.0,True,,,,,,,,,APPROACHING,,,,,,False
