ticker,rule,entry_date,entry,status,reason,ret_pct,days,exit_date,stop_today,pnl
SHYF,N1,2025-04-03,7.85,OPEN,,59.75,60,,6.9,2987.5
UPWK,N1,2026-05-08,8.82,OPEN,,-3.8,67,,7.76,-190.0
HLMN,N2,2026-05-19,7.04,OPEN,,23.58,60,,6.85,1179.0
BHVN,N2,2026-05-19,8.39,OPEN,,74.49,60,,7.85,3724.5
EVTC,N1,2026-06-05,22.34,OPEN,,41.32,48,,20.91,2066.0
PRVA,N2,2026-08-06,22.0,OPEN,,0.0,6,,19.41,0.0
ASLE,N2,2026-08-07,5.9,OPEN,,-0.51,5,,5.46,-25.5
ASIX,N3,2026-08-07,16.48,OPEN,,3.4,5,,14.02,170.0
MDRX,N3,2026-08-13,5.0,OPEN,,-2.0,1,,3.68,-100.0
