ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
FSBW,פריצה,2025-09-11,42.23,38.01,50.68,55.4,2025-10-10,38.01,SL,-499.64,-9.99,21
PRLB,פריצה,2025-09-26,50.4,45.36,60.48,55.0,2025-10-31,45.36,SL,-500.0,-10.0,25
TRS,פריצה,2025-10-20,37.83,34.05,45.4,55.0,2025-11-04,34.05,SL,-499.6,-9.99,11
TCI,פריצה,2025-09-11,46.96,42.26,56.35,55.6,2025-11-06,46.67,TIME,-30.88,-0.62,40
BBSI,פריצה,2025-10-21,41.9,37.71,50.28,55.3,2025-11-06,37.71,SL,-500.0,-10.0,12
STEP,פריצה,2025-10-21,63.49,57.14,76.19,55.5,2025-11-07,57.14,SL,-500.08,-10.0,13
LEU,פריצה,2025-11-26,254.22,228.8,305.06,55.1,2025-12-15,228.8,SL,-499.96,-10.0,12
VSEC,פריצה,2025-10-20,166.27,149.64,199.52,55.2,2025-12-16,168.39,TIME,63.75,1.28,40
APG,פריצה,2025-11-05,36.38,32.74,43.66,55.1,2026-01-05,40.36,TIME,547.0,10.94,40
AZZ,פריצה,2025-11-19,98.97,89.07,118.76,55.5,2026-01-08,118.76,TP,999.8,20.0,33
PATK,פריצה,2025-11-19,98.43,88.59,118.12,55.6,2026-01-09,118.12,TP,1000.2,20.0,34
CPS,פריצה,2025-11-21,30.87,27.78,37.04,55.6,2026-01-22,31.73,TIME,139.29,2.79,40
NBHC,פריצה,2025-11-21,36.97,33.27,44.36,55.2,2026-01-22,42.09,TIME,692.45,13.85,40
BATRK,פריצה,2025-11-25,38.89,35.0,46.67,55.6,2026-01-26,39.36,TIME,60.43,1.21,40
MBCN,פריצה,2025-11-25,34.66,31.19,41.59,55.0,2026-01-26,35.06,TIME,57.7,1.15,40
NHC,פריצה,2026-01-12,133.91,120.52,160.69,55.5,2026-02-05,160.69,TP,999.93,20.0,17
ABG,פריצה,2026-01-05,240.19,216.17,288.23,55.4,2026-02-25,216.17,SL,-500.02,-10.0,35
TWO,פריצה,2026-02-13,11.4,10.26,13.68,55.2,2026-02-25,10.26,SL,-500.0,-10.0,7
DDS,פריצה,2025-12-31,606.34,545.71,727.61,55.5,2026-03-02,607.44,TIME,9.07,0.18,40
HWC,פריצה,2026-01-05,66.37,59.73,79.64,55.3,2026-03-04,66.19,TIME,-13.56,-0.27,40
SPXC,פריצה,2026-02-26,231.59,208.43,277.91,55.6,2026-03-05,208.43,SL,-500.02,-10.0,5
EPAC,פריצה,2026-02-02,41.38,37.24,49.66,55.3,2026-03-06,37.24,SL,-500.24,-10.0,23
SRRK,פריצה,2026-03-19,45.5,40.95,54.6,55.6,2026-03-24,40.95,SL,-500.0,-10.0,3
OXM,תמיכה,2026-03-25,32.97,29.67,39.56,56.1,2026-04-06,39.56,TP,999.39,19.99,7
SBGI,תמיכה,2026-03-25,13.24,11.92,15.89,55.6,2026-04-15,15.89,TP,1000.76,20.02,14
KWR,תמיכה,2026-03-20,114.74,103.27,137.69,55.0,2026-04-17,137.69,TP,1000.09,20.0,19
MYRG,פריצה,2026-04-06,288.06,259.25,345.67,55.3,2026-04-27,345.67,TP,999.97,20.0,15
WSBC,פריצה,2026-03-02,35.48,31.93,42.58,55.6,2026-04-28,34.76,TIME,-101.47,-2.03,40
CBNK,פריצה,2026-03-04,30.34,27.31,36.41,55.6,2026-04-30,31.49,TIME,189.52,3.79,40
IVT,פריצה,2026-03-05,31.2,28.08,37.44,55.6,2026-05-01,32.15,TIME,152.24,3.04,40
TNK,פריצה,2026-03-19,68.07,61.26,81.68,55.0,2026-05-05,81.68,TP,999.71,19.99,32
MCBS,פריצה,2026-03-10,28.28,25.45,33.94,55.6,2026-05-06,32.36,TIME,721.36,14.43,40
PTCT,פריצה,2026-03-13,64.49,58.04,77.39,55.4,2026-05-08,77.39,TP,1000.16,20.0,39
FOXF,תמיכה,2026-03-19,16.38,14.74,19.66,55.4,2026-05-08,19.66,TP,1001.22,20.02,35
ATI,פריצה,2026-03-16,147.48,132.73,176.98,55.4,2026-05-12,161.01,TIME,458.71,9.17,40
URBN,פריצה,2026-03-16,64.56,58.1,77.47,55.4,2026-05-12,67.01,TIME,189.75,3.79,40
EPRT,תמיכה,2026-03-24,31.1,27.99,37.32,56.2,2026-05-20,31.31,TIME,33.76,0.68,40
DX,תמיכה,2026-03-27,12.17,10.95,14.6,55.1,2026-05-26,13.0,TIME,341.0,6.82,40
ITIC,פריצה,2026-03-30,219.22,197.3,263.06,55.3,2026-05-27,241.45,TIME,507.02,10.14,40
ASTS,פריצה,2026-06-17,85.43,76.89,102.52,55.6,2026-06-22,76.89,SL,-499.82,-10.0,2
CIFR,פריצה,2026-07-06,21.73,19.56,26.08,55.6,2026-07-07,19.56,SL,-499.31,-9.99,1
CRAI,פריצה,2026-06-23,144.07,129.66,172.88,55.3,2026-07-16,172.88,TP,999.86,20.0,16
BCO,פריצה,2026-07-01,99.0,89.1,118.8,55.3,2026-07-17,118.8,TP,1000.0,20.0,11
