ticker,side,entry_date,entry,sl,tp,confidence,last,pnl_pct,days_held
CHCO,פריצה,2026-06-23,129.62,116.66,155.54,55.6,145.69,12.4,38
QCRH,פריצה,2026-06-24,96.23,86.61,115.48,55.1,104.84,8.95,37
HLIO,פריצה,2026-07-06,82.5,74.25,99.0,55.1,82.0,-0.61,30
SFST,פריצה,2026-07-21,61.72,55.55,74.06,55.4,64.35,4.26,19
SXI,פריצה,2026-07-30,287.25,258.53,344.7,55.0,326.97,13.83,12
